P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
74586598.81,1090.48,24988444.88,2.98,803.23,73.78,0.64,1002.94,291.32,0.2563655924565313,0.8265381651265598
74586598.81,1090.48,24988444.88,2.98,803.23,73.78,0.79,1011.18,268.11,0.32341906910806123,0.8732248735783389
74586598.81,1090.48,24988444.88,2.98,803.23,73.78,1.02,998.74,283.65,0.4585197929312615,0.9701186711964233
74586598.81,1090.48,24988444.88,2.98,803.23,73.78,0.57,1005.93,314.18,0.12853908032982447,0.7357979863501589
114620909.71,1250.94,24985051.62,2.88,801.83,95.55,0.66,1137.91,265.44,0.5509987453468633,1.0042513328302518
114620909.71,1250.94,24985051.62,2.88,801.83,95.55,0.88,1136.42,273.58,0.5561471626488198,1.0112441426827685
114620909.71,1250.94,24985051.62,2.88,801.83,95.55,0.78,1153.79,282.88,0.5596774060112868,1.0159165829279164
114620909.71,1250.94,24985051.62,2.88,801.83,95.55,0.94,1140.89,293.12,0.5565239534030524,1.015058819416237
114620909.71,1250.94,24985051.62,2.88,801.83,95.55,0.53,1152.3,307.35,0.5433040106044633,1.006415116780425
114620909.71,1250.94,24985051.62,2.88,801.83,95.55,0.77,1146.73,313.89,0.5478632179801362,1.0124560739163386
114620909.71,1250.94,24985051.62,2.88,801.83,95.55,0.61,1144.28,288.35,0.5514310240458902,1.0055126096164257
114620909.71,1250.94,24985051.62,2.88,801.83,95.55,1.02,1149.26,300.76,0.554452152299148,1.0214060875336815
59295074.3,1063.62,24947579.43,2.83,836.51,83.51,0.65,974.63,289.55,0.29509798915825014,0.87835363325571
59295074.3,1063.62,24947579.43,2.83,836.51,83.51,0.92,968.21,312.81,0.3934236993846834,0.9582676452797385
59295074.3,1063.62,24947579.43,2.83,836.51,83.51,0.63,967.32,297.12,0.26086786911195115,0.8559621168334267
59295074.3,1063.62,24947579.43,2.83,836.51,83.51,0.52,960.55,280.0,0.14191797213454077,0.7561134960797473
59295074.3,1063.62,24947579.43,2.83,836.51,83.51,0.78,975.75,273.89,0.3663567827271949,0.9290708211074554
59295074.3,1063.62,24947579.43,2.83,836.51,83.51,0.85,963.68,307.41,0.37058207983944874,0.9412456780915939
59295074.3,1063.62,24947579.43,2.83,836.51,83.51,0.77,978.98,299.18,0.3565797576535138,0.9283554162382426
59295074.3,1063.62,24947579.43,2.83,836.51,83.51,1.02,971.08,266.15,0.42164236130040866,0.963234834840888
18389418.56,1115.32,24106231.22,2.96,799.17,60.08,0.62,1038.48,291.14,0.5217333601559112,0.9925554875508259
18389418.56,1115.32,24106231.22,2.96,799.17,60.08,0.53,1045.62,288.82,0.5717357512843245,1.0813138711275165
