-72,-64.66,-76.18,-71.13,-58.36,-72.02,-69.95,-54.68,-71.49,-62.74,-71.58,-80,-70.58,-68,-81,-79.31,-83.17,-78.17,-62.75,-74.16,-80.1,-78.17,-73.94,-73.28
-70.93,-68.85,-69.04,-76.02,-66.27,-69.32,-71.87,-59.61,-73.08,-67.7,-73.78,-77.87,-80.56,-77.52,-88.8,-82.54,-73.2,-79.51,-57.83,-73.83,-80.17,-73.18,-72.27,-83.49
-75.72,-77.79,-78.94,-69.18,-66.42,-80.13,-71.17,-71.06,-70.83,-62.88,-78.11,-78.31,-56.73,-83.95,-84.95,-67.65,-74,-76,-74,-67.09,-80.1,-82.48,-73,-71.2
-71.34,-73.58,-71.4,-72,-70.7,-75.17,-79.11,-69.38,-59.34,-64.13,-85.93,-77.23,-70.14,-73.58,-85.29,-74.01,-75.76,-82.33,-75.17,-71.15,-77.78,-75.34,-72.32,-66.7
-78.66,-64.36,-71,-76,-67,-85.25,-71.4,-76.64,-51.88,-64.9,-81.14,-84.96,-75.91,-78.16,-77,-86,-80.69,-76.58,-74.77,-74.56,-85,-74.45,-75.29,-74.02
-72,-56.32,-62.87,-81.24,-65.58,-73.3,-71.72,-67.39,-67.66,-70.42,-75.32,-78.71,-72.29,-75.53,-75.26,-77,-79.14,-76.64,-70.77,-73.06,-78.04,-69.76,-67.6,-69.36
-70.58,-63.06,-60.34,-83,-62.03,-74.84,-74.94,-63.98,-62.27,-72.81,-79,-78.86,-80,-77.69,-77,-74.93,-80.25,-84.5,-69.58,-79.26,-76.13,-75.22,-66.3,-68.88
-75.65,-67,-60.44,-82.9,-65.67,-61.85,-73.51,-70.33,-72.13,-71.68,-71.28,-80.24,-80.17,-77.08,-74.85,-83.88,-80.96,-85.08,-66.21,-71.65,-81.68,-75.8,-69.03,-71.3
-72.21,-61.07,-78.27,-74.11,-71.18,-72.14,-72.27,-69.14,-58.56,-70.22,-86.82,-81.05,-70.66,-73.58,-75.96,-79.12,-74.49,-80.18,-74.8,-73.98,-76.24,-62.45,-72.81,-57.98
-71.16,-63.6,-56.05,-78.14,-70.13,-70.36,-71.35,-67.32,-64,-66.4,-79.86,-87.69,-80.27,-90.36,-84.04,-74.42,-83.39,-81.29,-77.36,-75.62,-75.52,-69.59,-68.7,-62.9
-76.83,-64.37,-60.73,-78.26,-67.22,-70.88,-70.03,-72.55,-68.64,-65.25,-72.53,-80,-80.51,-78.03,-82,-76.17,-86.15,-80.87,-73.61,-85.12,-68.69,-67.78,-70.09,-61.96
-77.28,-70.6,-56.96,-73.98,-71,-63.89,-76.08,-65.65,-76.7,-69.78,-75.23,-79.52,-77.88,-76.12,-76.32,-81.9,-80,-83.42,-73.34,-81,-66.26,-73.77,-63.41,-72.89
-74.5,-61.55,-65.09,-84.45,-76.7,-79,-77.25,-72.88,-64.4,-72.06,-81,-93,-77.96,-81,-83.46,-78,-83.8,-84.16,-79.04,-79.7,-71,-66.89,-66,-62.44
-76.97,-59.42,-60.52,-84.3,-74.85,-81.28,-71.58,-81.9,-73.77,-68.19,-79.58,-82,-86,-82.85,-82.58,-84.38,-80.59,-81.57,-75.55,-87.72,-73.31,-66.12,-69.97,-50.64
-78,-68.75,-72.74,-83.44,-67,-72.34,-83.36,-82.7,-72.07,-80.35,-80.8,-87.16,-79.26,-79,-76.45,-83.63,-88.12,-86.46,-83.83,-80.45,-59.87,-71.69,-59.68,-63.09
-80.57,-72.9,-68.15,-79.3,-71.65,-63.82,-76.89,-72.25,-74.71,-91,-87,-79.42,-88.26,-85.31,-78.95,-88.16,-78.6,-87.6,-76.41,-84.53,-57.45,-63,-54.45,-58.89
-80.1,-63.9,-66.85,-77.22,-67.7,-75.26,-81.56,-78.16,-66.56,-70.22,-78.97,-90,-81.26,-78.29,-80.42,-82.41,-88.61,-82,-74.63,-80.78,-70.08,-62.62,-68.83,-56.13
-78.3,-68.38,-68.87,-74.48,-70.17,-79.82,-72.3,-73.41,-70.42,-72.6,-83.1,-87.06,-92.17,-77.88,-81.1,-76.46,-84.17,-87.02,-86.51,-79,-73.88,-59.64,-63.85,-60.78
-78.14,-65.24,-74,-81.15,-69.18,-71.37,-71.25,-72.38,-71.77,-70.42,-83.84,-86.62,-77.87,-80.32,-81.98,-80.29,-81.99,-87.98,-76.33,-74.55,-61.48,-77.2,-58.42,-55.96
-89,-66.73,-65.47,-82,-77,-71.76,-77.88,-71.15,-73.57,-82,-89.29,-90.71,-79.57,-86,-84.76,-86.83,-77,-85.25,-82.29,-85.46,-56.63,-67.61,-64.11,-70.45
