Name,Rating,NumberOfUser,PopularitasXKepuasan,Address,lat,lon
Starbucks terogong,5.0,1,5.0,"Jl. Terogong Raya No.17, RT.10/RW.10, Cilandak Bar., Kota Jakarta Selatan",-6.2825633000000005,106.7914483
Starbucks Colony Kemang,5.0,1,5.0,"Jl. Kemang Raya No.90-B, RW.2, Bangka, Kota Jakarta Selatan",-6.2703460999999985,106.8152247
Starbucks SOGO,5.0,1,5.0,"RW No.15, RT.7/RW.15, Menteng Atas, South Jakarta City",-6.218760500000001,106.84274540000001
Starbucks Coffee Pertoks,0.0,0,0.0,"Jl. Gedung Hijau I No.9, RT.1/RW.13, Pd. Pinang, Kota Jakarta Selatan",-6.2771789999999985,106.7767719
Starbucks Colony Kemang,0.0,0,0.0,"Jl. Kemang Raya No.6, RW.1, Bangka, Kota Jakarta Selatan",-6.25992,106.8155794
Starbucks,0.0,0,0.0,"RT.6/RW.6, Kramat Pela, South Jakarta City",-6.2449214999999985,106.7978483
Starbucks Wijaya,0.0,0,0.0,"Jl. Wijaya I, RT.7/RW.4, Petogogan, Kota Jakarta Selatan",-6.240021899999999,106.81461599999999
Starbucks,0.0,0,0.0,"RT.4/RW.5, Kuningan, East Kuningan, South Jakarta City",-6.230375,106.8239918
STARBUCKS,0.0,0,0.0,"Jl. Asia Afrika No.19, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.2278459,106.7966795
Starbucks Coffee XL Tower,0.0,0,0.0,"Jl. H. R. Rasuna Said No.Kav 10, RT.7/RW.4, Kuningan, Kuningan Tim., Kota Jakarta Selatan",-6.2284948,106.8326006
