Name,Rating,NumberOfUser,Address,lat,lon
Starbucks Golden Fatmawati,4.6,249,"Jl. RS. Fatmawati Raya No.15, RT.8/RW.6, Gandaria Sel., Kota Jakarta Selatan",-6.276617799999999,106.7973598
Starbucks,4.7,403,"Jl. Bintaro Utama 3A Blok DC1 No.59, Pd. Karya, Kota Tangerang Selatan",-6.2730368,106.7426927
Starbucks MRT Cipete,4.4,90,"MRT Cipete, Jl. Cipete Raya No.3, RT.3/RW.4, South Cipete, South Jakarta City",-6.278518099999999,106.7971855
Starbucks,4.5,443,"15, Jl. Terogong Raya No.10, RW.10, Cilandak Bar., Kota Jakarta Selatan",-6.2827235,106.7916842
Starbucks terogong,5.0,1,"Jl. Terogong Raya No.17, RT.10/RW.10, Cilandak Bar., Kota Jakarta Selatan",-6.2825633,106.7914483
Starbucks - Ruko Plaza Pondok Indah,4.5,478,"Jalan Metro Duta 1 Blok UA No.33, Pondok Pinang, Kebayoran Lama, RT.4/RW.14, Pd. Pinang, Kota Jakarta Selatan",-6.2826945,106.7804836
Starbucks - THB Pondok Indah,4.6,588,"2, Jl. Gedung Hijau I No.9, RT.1/RW.13, Pd. Pinang, Kota Jakarta Selatan",-6.277221000000001,106.7767775
Starbucks Coffee Pertoks,0.0,0,"Jl. Gedung Hijau I No.9, RT.1/RW.13, Pd. Pinang, Kota Jakarta Selatan",-6.277178999999999,106.7767719
Starbucks Coffee - TB Simatupang,4.4,429,"Jalan TB. Simatupang Kav. 23-24, Cilandak, RT.1/RW.1, Cilandak Bar., Kota Jakarta Selatan",-6.2911582,106.8046784
Starbucks,4.2,35,"Ratu Prabu 2, Jalan T.b. Simatupang Kav. 1B, Cilandak Timur, RT.3/RW.3, Cilandak Tim., Kota Jakarta Selatan",-6.2916745,106.8086039
Starbucks Coffe Talavera Office,4.8,22,"South Jakarta 1 1, RT.1/RW.1, Cilandak Bar., Kota Jakarta Selatan",-6.291333900000001,106.8037672
Food Court Manhattan,4.4,8,"RT.3/RW.3, East Cilandak, South Jakarta City",-6.2902572,106.8112127
Starbucks,4.3,19,"Townsquare Cilandak, Jl. TB Simatupang No.Kav. 17, RT.6/RW.9, West Cilandak, South Jakarta City",-6.2913466,106.7997137
Starbucks Coffee - South Quarter,4.7,187,"South Quarter Tower B, Jl. RA Kartini Kav 8, RT 10/RW 4, 12430, RT.15/RW.4, West Cilandak, South Jakarta City",-6.2939127,106.784861
starbucks wisma pondok indah,4.4,8,"Wisma BCA Pd. Indah, Jl. Metro Pondok Indah No.10, RT.1/RW.17, Pd. Pinang, Kota Jakarta Selatan",-6.286863599999999,106.7789661
Starbucks Menara FIF,3.7,12,"Jl. Tol Tahi Bonar Simatupang No.Kav. 15, RT.4/RW.1, Lb. Bulus, Kota Jakarta Selatan",-6.292499299999999,106.783595
Starbucks,4.6,163,"Jalan Tanjung Barat Lama No.7, Jagakarsa, RT.10/RW.4, Tanjung Barat, RT.10/RW.4, Tj. Bar., Kota Jakarta Selatan",-6.3024689,106.8430579
Starbucks,4.6,198,"53A, Jl. TB Simatupang No.2, RW.1, Kebagusan, Kota Jakarta Selatan",-6.298211500000001,106.8297067
Starbucks One Belpark,4.5,64,"one belpark mall ground floor, Jalan RS Fatmawati No.1, RT.1 RW.7, RT.1/RW.7, Pd. Labu, Cilandak, RT.1/RW.1, Pondok Labu, South Jakarta City",-6.3043647,106.7954755
Starbucks Coffee - Cijantung Mall,4.4,198,"Jl. Pendidikan No.Mal Cijantung, Jl. Pendidikan No.21, RT.1/RW.4, Cijantung, Kota Jakarta Timur",-6.3127778,106.8616667
Starbucks Plaza Cirendeu,4.6,439,"Plaza Cirendeu, Jl. Raya Cirendeu No.20, Pisangan, Kota Tangerang Selatan",-6.318146200000001,106.768658
STARBUCKS CIPUTAT RAYA,4.8,103,"Cipayung, South Tangerang City",-6.3168578,106.7468092
Starbucks Living Plaza Cinere,4.5,283,"Jl. Cinere Raya No.100, Cinere, Kota Depok",-6.332724799999999,106.7829486
Starbucks Kelapa Dua,4.6,486,"Jl. Akses UI No.56, Tugu, Kota Depok",-6.354678499999999,106.8459654
Starbucks,4.6,1284,"Jl. Margonda Raya No.488, Pondok Cina, Kota Depok",-6.3638622,106.833459
Starbucks,4.4,946,"Margocity Lantai Ground Floor, Jl. Margonda Raya No.358, Kemiri Muka, Kota Depok",-6.3728248,106.8345941
Starbucks Coffee - Margo City,4.8,6,"Margo City, Kemiri Muka, Depok City",-6.3728145,106.8345587
