P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
100000000.0,1115.48333333,25000000.0,2.76,15.0,250.0,1.0,1115.48333333,312.15,0.48994868031054517,1.000053206864574,
100000000.0,1146.26111111,25000000.0,2.76,15.0,250.0,1.0,1146.26111111,312.15,0.4989492749726049,1.0000400819435715,
100000000.0,1177.03888889,25000000.0,2.76,15.0,250.0,1.0,1177.03888889,312.15,0.5060328384741718,1.0000268634508922,
100000000.0,1207.81666667,25000000.0,2.76,15.0,250.0,1.0,1207.81666667,312.15,0.515889720031322,1.0000102732925729,
100000000.0,1238.59444444,25000000.0,2.76,15.0,250.0,1.0,1238.59444444,312.15,0.5272173424106622,1.0000023489596,
100000000.0,1269.37222222,25000000.0,2.76,15.0,250.0,1.0,1269.37222222,312.15,0.5396504994641312,1.0000138179310225,
100000000.0,1300.15,25000000.0,2.76,15.0,250.0,1.0,1300.15,312.15,0.5542400338120241,1.000018538999269,
100000000.0,1073.15,20000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.4158847040161041,0.9998569744821028,
100000000.0,1073.15,20555555.5556,2.76,15.0,250.0,1.0,1073.15,312.15,0.4198622358577343,0.9998879378188115,
100000000.0,1073.15,21111111.1111,2.76,15.0,250.0,1.0,1073.15,312.15,0.42435910607388283,0.9998945457417797,
100000000.0,1073.15,21666666.6667,2.76,15.0,250.0,1.0,1073.15,312.15,0.4294435275337781,0.999888805199081,
100000000.0,1073.15,22222222.2222,2.76,15.0,250.0,1.0,1073.15,312.15,0.4349619069387048,0.9999238489004435,
100000000.0,1073.15,22777777.7778,2.76,15.0,250.0,1.0,1073.15,312.15,0.440687399367418,0.999967279888326,
100000000.0,1073.15,23333333.3333,2.76,15.0,250.0,1.0,1073.15,312.15,0.44717560802318795,0.9999543122036317,
100000000.0,1073.15,23888888.8889,2.76,15.0,250.0,1.0,1073.15,312.15,0.45412228788155856,0.9999465084188457,
100000000.0,1073.15,24444444.4444,2.76,15.0,250.0,1.0,1073.15,312.15,0.46113299614419084,0.9999672882500262,
100000000.0,1073.15,25000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.4668290616613369,1.0000611632471863,
100000000.0,1073.15,25000000.0,2.7,15.0,250.0,1.0,1073.15,312.15,0.46907734658112893,1.0000836246870006,
100000000.0,1073.15,25000000.0,2.84444444444,15.0,250.0,1.0,1073.15,312.15,0.45970412367476815,1.0000372770007027,
100000000.0,1073.15,25000000.0,2.98888888889,15.0,250.0,1.0,1073.15,312.15,0.4451575078693021,0.9999737010655285,
100000000.0,1073.15,25000000.0,3.13333333333,15.0,250.0,1.0,1073.15,312.15,0.43243963807518077,0.9999451737940573,
100000000.0,1073.15,25000000.0,3.27777777778,15.0,250.0,1.0,1073.15,312.15,0.42157387274928043,0.9999334463945335,
100000000.0,1073.15,25000000.0,3.42222222222,15.0,250.0,1.0,1073.15,312.15,0.4118746653352303,0.9999094101487481,
100000000.0,1073.15,25000000.0,3.56666666667,15.0,250.0,1.0,1073.15,312.15,0.40314314143581376,0.9999079476239787,
100000000.0,1073.15,25000000.0,3.71111111111,15.0,250.0,1.0,1073.15,312.15,0.394404722838164,0.9998890983612746,
100000000.0,1073.15,25000000.0,3.85555555556,15.0,250.0,1.0,1073.15,312.15,0.38754309860154923,0.9998678646441213,
100000000.0,1073.15,25000000.0,4.0,15.0,250.0,1.0,1073.15,312.15,0.3805754625035097,0.9998800293552136,
100000000.0,1073.15,25000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.4668290616613369,1.0000611632471863,
100000000.0,1073.15,25000000.0,2.76,16.6666666667,250.0,1.0,1073.15,312.15,0.46600646181509264,1.0000618802095906,
100000000.0,1073.15,25000000.0,2.76,18.3333333333,250.0,1.0,1073.15,312.15,0.46518096640581724,1.0000618847487497,
100000000.0,1073.15,25000000.0,2.76,20.0,250.0,1.0,1073.15,312.15,0.464354272080342,1.0000630001846846,
100000000.0,1073.15,25000000.0,2.76,21.6666666667,250.0,1.0,1073.15,312.15,0.46352518698617723,1.0000640632311395,
100000000.0,1073.15,25000000.0,2.76,23.3333333333,250.0,1.0,1073.15,312.15,0.46269326261963106,1.0000652539438832,
100000000.0,1073.15,25000000.0,2.76,25.0,250.0,1.0,1073.15,312.15,0.46185863213049455,1.0000664756106077,
100000000.0,1073.15,25000000.0,2.76,26.6666666667,250.0,1.0,1073.15,312.15,0.46102119642995465,1.0000677858916227,
100000000.0,1073.15,25000000.0,2.76,28.3333333333,250.0,1.0,1073.15,312.15,0.46018027629450564,1.0000696239858924,
100000000.0,1073.15,25000000.0,2.76,30.0,250.0,1.0,1073.15,312.15,0.4593358283477896,1.0000720123461408,
100000000.0,1073.15,25000000.0,2.76,15.0,100.0,1.0,1073.15,312.15,0.4975768575328383,1.0000385576303412,
100000000.0,1073.15,25000000.0,2.76,15.0,122.222222222,1.0,1073.15,312.15,0.497576904239911,1.0000384229456645,
100000000.0,1073.15,25000000.0,2.76,15.0,144.444444444,1.0,1073.15,312.15,0.49757697260334705,1.0000382258121836,
100000000.0,1073.15,25000000.0,2.76,15.0,166.666666667,1.0,1073.15,312.15,0.49757708916603843,1.0000378896896387,
100000000.0,1073.15,25000000.0,2.76,15.0,188.888888889,1.0,1073.15,312.15,0.4963505155347553,1.0000337989461998,
100000000.0,1073.15,25000000.0,2.76,15.0,211.111111111,1.0,1073.15,312.15,0.48799937954364364,1.0000536418324248,
100000000.0,1073.15,25000000.0,2.76,15.0,233.333333333,1.0,1073.15,312.15,0.4750362049183787,1.000055582829135,
100000000.0,1073.15,25000000.0,2.76,15.0,255.555555556,1.0,1073.15,312.15,0.46407837932561796,1.0000634813059432,
100000000.0,1073.15,25000000.0,2.76,15.0,277.777777778,1.0,1073.15,312.15,0.45379145732460857,1.0000817892980793,
100000000.0,1073.15,25000000.0,2.76,15.0,300.0,1.0,1073.15,312.15,0.444858800204863,1.0000842132356575,
140000000.0,1023.15,25000000.0,2.76,15.0,250.0,1.0,1023.15,312.15,0.44486014265327095,1.0000838991173338,
140000000.0,1053.92777778,25000000.0,2.76,15.0,250.0,1.0,1053.92777778,312.15,0.4571904452326762,1.000075706245603,
140000000.0,1084.70555556,25000000.0,2.76,15.0,250.0,1.0,1084.70555556,312.15,0.47245862292663016,1.0000570792217496,
140000000.0,1115.48333333,25000000.0,2.76,15.0,250.0,1.0,1115.48333333,312.15,0.48994868031054584,1.0000532068645775,
140000000.0,1146.26111111,25000000.0,2.76,15.0,250.0,1.0,1146.26111111,312.15,0.4989492749726044,1.000040081943572,
140000000.0,1177.03888889,25000000.0,2.76,15.0,250.0,1.0,1177.03888889,312.15,0.5060328384741724,1.0000268634508984,
140000000.0,1207.81666667,25000000.0,2.76,15.0,250.0,1.0,1207.81666667,312.15,0.5158897200313212,1.000010273292571,
140000000.0,1238.59444444,25000000.0,2.76,15.0,250.0,1.0,1238.59444444,312.15,0.5272173424106628,1.0000023489595986,
140000000.0,1269.37222222,25000000.0,2.76,15.0,250.0,1.0,1269.37222222,312.15,0.5396504994641289,1.0000138179310234,
140000000.0,1300.15,25000000.0,2.76,15.0,250.0,1.0,1300.15,312.15,0.5542400338120229,1.00001853899927,
140000000.0,1073.15,20000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.4158847040161041,0.9998569744821045,
140000000.0,1073.15,20555555.5556,2.76,15.0,250.0,1.0,1073.15,312.15,0.41986223585773413,0.9998879378188144,
140000000.0,1073.15,21111111.1111,2.76,15.0,250.0,1.0,1073.15,312.15,0.42435910607388083,0.9998945457417788,
140000000.0,1073.15,21666666.6667,2.76,15.0,250.0,1.0,1073.15,312.15,0.429443527533778,0.9998888051990819,
140000000.0,1073.15,22222222.2222,2.76,15.0,250.0,1.0,1073.15,312.15,0.4349619069387059,0.9999238489004424,
140000000.0,1073.15,22777777.7778,2.76,15.0,250.0,1.0,1073.15,312.15,0.4406873993674171,0.9999672798883242,
140000000.0,1073.15,23333333.3333,2.76,15.0,250.0,1.0,1073.15,312.15,0.44717560802318496,0.9999543122036327,
140000000.0,1073.15,23888888.8889,2.76,15.0,250.0,1.0,1073.15,312.15,0.45412228788156067,0.9999465084188437,
140000000.0,1073.15,24444444.4444,2.76,15.0,250.0,1.0,1073.15,312.15,0.4611329961441911,0.9999672882500276,
140000000.0,1073.15,25000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.4668290616613366,1.000061163247189,
140000000.0,1073.15,25000000.0,2.7,15.0,250.0,1.0,1073.15,312.15,0.4690773465811292,1.0000836246869993,
140000000.0,1073.15,25000000.0,2.84444444444,15.0,250.0,1.0,1073.15,312.15,0.45970412367476726,1.000037277000701,
140000000.0,1073.15,25000000.0,2.98888888889,15.0,250.0,1.0,1073.15,312.15,0.44515750786930086,0.9999737010655276,
140000000.0,1073.15,25000000.0,3.13333333333,15.0,250.0,1.0,1073.15,312.15,0.4324396380751789,0.9999451737940555,
140000000.0,1073.15,25000000.0,3.27777777778,15.0,250.0,1.0,1073.15,312.15,0.42157387274928054,0.9999334463945359,
140000000.0,1073.15,25000000.0,3.42222222222,15.0,250.0,1.0,1073.15,312.15,0.4118746653352299,0.9999094101487503,
140000000.0,1073.15,25000000.0,3.56666666667,15.0,250.0,1.0,1073.15,312.15,0.40314314143581237,0.9999079476239799,
140000000.0,1073.15,25000000.0,3.71111111111,15.0,250.0,1.0,1073.15,312.15,0.3944047228381642,0.9998890983612743,
140000000.0,1073.15,25000000.0,3.85555555556,15.0,250.0,1.0,1073.15,312.15,0.3875430986015495,0.9998678646441196,
140000000.0,1073.15,25000000.0,4.0,15.0,250.0,1.0,1073.15,312.15,0.3805754625035098,0.999880029355213,
140000000.0,1073.15,25000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.4668290616613366,1.000061163247189,
140000000.0,1073.15,25000000.0,2.76,16.6666666667,250.0,1.0,1073.15,312.15,0.4660064618150936,1.0000618802095897,
140000000.0,1073.15,25000000.0,2.76,18.3333333333,250.0,1.0,1073.15,312.15,0.465180966405818,1.0000618847487508,
140000000.0,1073.15,25000000.0,2.76,20.0,250.0,1.0,1073.15,312.15,0.464354272080345,1.0000630001846824,
140000000.0,1073.15,25000000.0,2.76,21.6666666667,250.0,1.0,1073.15,312.15,0.46352518698617556,1.00006406323114,
140000000.0,1073.15,25000000.0,2.76,23.3333333333,250.0,1.0,1073.15,312.15,0.4626932626196311,1.000065253943885,
140000000.0,1073.15,25000000.0,2.76,25.0,250.0,1.0,1073.15,312.15,0.4618586321304948,1.0000664756106066,
140000000.0,1073.15,25000000.0,2.76,26.6666666667,250.0,1.0,1073.15,312.15,0.4610211964299561,1.000067785891624,
140000000.0,1073.15,25000000.0,2.76,28.3333333333,250.0,1.0,1073.15,312.15,0.46018027629450653,1.0000696239858917,
140000000.0,1073.15,25000000.0,2.76,30.0,250.0,1.0,1073.15,312.15,0.45933582834778774,1.0000720123461435,
140000000.0,1073.15,25000000.0,2.76,15.0,100.0,1.0,1073.15,312.15,0.49757685753283976,1.0000385576303417,
140000000.0,1073.15,25000000.0,2.76,15.0,122.222222222,1.0,1073.15,312.15,0.49757690423991174,1.0000384229456636,
140000000.0,1073.15,25000000.0,2.76,15.0,144.444444444,1.0,1073.15,312.15,0.4975769726033465,1.0000382258121836,
140000000.0,1073.15,25000000.0,2.76,15.0,166.666666667,1.0,1073.15,312.15,0.4975770891660383,1.0000378896896454,
140000000.0,1073.15,25000000.0,2.76,15.0,188.888888889,1.0,1073.15,312.15,0.49635051553475507,1.0000337989462027,
140000000.0,1073.15,25000000.0,2.76,15.0,211.111111111,1.0,1073.15,312.15,0.48799937954364403,1.000053641832424,
140000000.0,1073.15,25000000.0,2.76,15.0,233.333333333,1.0,1073.15,312.15,0.4750362049183773,1.0000555828291335,
140000000.0,1073.15,25000000.0,2.76,15.0,255.555555556,1.0,1073.15,312.15,0.4640783793256188,1.0000634813059395,
140000000.0,1073.15,25000000.0,2.76,15.0,277.777777778,1.0,1073.15,312.15,0.4537914573246071,1.0000817892980804,
140000000.0,1073.15,25000000.0,2.76,15.0,300.0,1.0,1073.15,312.15,0.4448588002048621,1.0000842132356593,
180000000.0,1023.15,25000000.0,2.76,15.0,250.0,1.0,1023.15,312.15,0.44486014265327084,1.000083899117332,
180000000.0,1053.92777778,25000000.0,2.76,15.0,250.0,1.0,1053.92777778,312.15,0.45719044523267394,1.0000757062456052,
180000000.0,1084.70555556,25000000.0,2.76,15.0,250.0,1.0,1084.70555556,312.15,0.4724586229266286,1.0000570792217514,
180000000.0,1115.48333333,25000000.0,2.76,15.0,250.0,1.0,1115.48333333,312.15,0.48994868031054606,1.0000532068645764,
180000000.0,1146.26111111,25000000.0,2.76,15.0,250.0,1.0,1146.26111111,312.15,0.49894927497260305,1.0000400819435693,
180000000.0,1177.03888889,25000000.0,2.76,15.0,250.0,1.0,1177.03888889,312.15,0.5060328384741725,1.0000268634508958,
180000000.0,1207.81666667,25000000.0,2.76,15.0,250.0,1.0,1207.81666667,312.15,0.5158897200313222,1.0000102732925726,
180000000.0,1238.59444444,25000000.0,2.76,15.0,250.0,1.0,1238.59444444,312.15,0.5272173424106634,1.0000023489596013,
180000000.0,1269.37222222,25000000.0,2.76,15.0,250.0,1.0,1269.37222222,312.15,0.5396504994641323,1.0000138179310207,
180000000.0,1300.15,25000000.0,2.76,15.0,250.0,1.0,1300.15,312.15,0.5542400338120212,1.0000185389992715,
180000000.0,1073.15,20000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.4158847040161056,0.9998569744821035,
180000000.0,1073.15,20555555.5556,2.76,15.0,250.0,1.0,1073.15,312.15,0.41986223585773613,0.9998879378188096,
180000000.0,1073.15,21111111.1111,2.76,15.0,250.0,1.0,1073.15,312.15,0.42435910607388083,0.9998945457417797,
180000000.0,1073.15,21666666.6667,2.76,15.0,250.0,1.0,1073.15,312.15,0.4294435275337792,0.999888805199082,
180000000.0,1073.15,22222222.2222,2.76,15.0,250.0,1.0,1073.15,312.15,0.43496190693870657,0.9999238489004448,
180000000.0,1073.15,22777777.7778,2.76,15.0,250.0,1.0,1073.15,312.15,0.44068739936741746,0.9999672798883249,
180000000.0,1073.15,23333333.3333,2.76,15.0,250.0,1.0,1073.15,312.15,0.44717560802318673,0.9999543122036326,
180000000.0,1073.15,23888888.8889,2.76,15.0,250.0,1.0,1073.15,312.15,0.4541222878815587,0.9999465084188467,
