H_drop_design,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv,pred,truemdot
35.513655,611617778.9,792.750077,1462.395811,313.041458,477.995494,0.679628,441.8354797363,477.995494
10.873873,657533618.4,949.139302,1375.097042,304.712064,1151.13315,0.979446,1119.5087890625,1151.13315
17.950943,296218058.7,773.854106,1106.397584,294.949977,666.786315,0.920854,601.1940917969,666.786315
14.666779,354902599.2,793.641525,1057.876157,310.509671,1054.860079,0.961933,1053.3315429688,1054.860079
26.870416,775399528,824.680818,1094.555823,282.653276,2176.494224,0.938207,2054.2319335938,2176.494224
47.181391,158753814,781.785626,1249.46722,275.598373,0,0,11.8751459122,0
34.485969,887221262,911.542613,1151.239863,297.72356,2627.877342,0.899346,2647.9016113281,2627.877342
13.517622,327447875,848.410196,1337.57715,301.021855,484.577458,0.932367,547.5413818359,484.577458
32.37237,908817011.1,831.248552,1172.817935,300.58412,1929.921144,0.910145,1923.4439697266,1929.921144
17.193837,622990111.3,803.265445,1396.8443,291.716008,763.719106,0.938301,774.7307739258,763.719106
12.688797,753487789.9,778.101333,1359.037311,303.620135,990.263701,0.975654,1022.1282958984,990.263701
49.615776,964615902.8,824.936473,1398.422914,305.45092,856.120608,0.658609,926.469543457,856.120608
38.964489,275109179.8,891.053202,1198.843267,311.232524,280.766689,0.399404,189.67578125,280.766689
18.735178,152558260.4,821.490471,1359.537224,274.696533,147.29816,0.668365,143.9554901123,147.29816
17.275169,507095445,829.382541,1029.078434,288.66436,2003.299346,0.967687,2019.3765869141,2003.299346
13.283738,17032402.47,780.912036,1184.727134,274.456912,0,0,15.5489301682,0
19.215147,405517530.8,874.154252,1342.581965,306.613128,599.221638,0.895553,666.8422851563,599.221638
28.545885,994815679,858.493836,1392.993417,315.353266,1291.505282,0.901728,1300.0319824219,1291.505282
45.334707,752688238.1,783.916772,1380.154273,297.110859,623.852168,0.633911,642.9537963867,623.852168
38.91477,669399942.8,938.646026,1436.728763,280.81029,673.661866,0.662558,653.6400146484,673.661866
35.78977,81365011.17,778.409645,1400.510914,307.624086,-0.995093,0,21.6176433563,-0.995093
47.718306,983679220.1,886.903641,1043.492638,271.747775,4372.92703,0.864108,4423.8715820313,4372.92703
14.10568,156842010,915.839127,1436.191362,281.385075,185.073756,0.808985,165.9406433105,185.073756
39.343295,751560278.3,834.401462,1189.471582,287.965222,1407.507583,0.836881,1433.8781738281,1407.507583
23.679842,286644406.1,846.195306,1202.988661,303.771524,529.154335,0.832137,507.7476196289,529.154335
7.947351,694209131.2,912.718436,1375.57957,266.965182,1136.41612,0.990138,1132.0213623047,1136.41612
8.066226,736557631,834.252482,1435.54646,302.891555,930.802364,0.989418,967.9858398438,930.802364
40.839447,160972125.9,897.637323,1068.465166,300.029597,0,0,-87.5481719971,0
31.377191,290459055.3,857.237226,1386.392445,270.741017,182.767356,0.432229,180.6174468994,182.767356
37.489233,735354675.9,926.736018,1418.313115,288.466131,844.090981,0.74289,848.0545043945,844.090981
15.481217,698749414.9,859.394724,1040.224109,281.332413,3070.729163,0.981476,3030.544921875,3070.729163
22.680355,679859616.4,775.308473,1335.512533,294.297379,873.772047,0.916662,890.5679931641,873.772047
6.213169,316161838.8,906.911981,1191.212277,290.271264,865.228377,0.990593,854.3177490234,865.228377
8.347264,505698685.3,828.35923,1242.354114,294.714734,952.78791,0.988304,1000.7112426758,952.78791
22.909292,863017171.2,956.980613,1129.449181,287.178702,3769.211205,0.957782,3651.0495605469,3769.211205
22.10772,489414446.7,789.96505,1269.210742,270.313398,728.812416,0.902222,774.3055419922,728.812416
17.369084,315602667.5,952.168294,1039.031467,272.959803,2736.353142,0.944047,2897.4455566406,2736.353142
11.065136,737451742.8,854.029841,1216.952925,283.864534,1582.14661,0.986921,1595.3354492188,1582.14661
13.838683,260672552,893.831042,1217.651289,289.973732,586.781476,0.929724,530.9471435547,586.781476
49.38886,307801615.6,952.09162,1396.949365,295.343094,0,0,16.6964416504,0
34.777056,696153677.8,821.371806,1118.62444,290.411846,1658.68146,0.879984,1666.6329345703,1658.68146
45.360253,675961344.8,948.304656,1113.091393,304.088625,2552.90171,0.788397,2651.2492675781,2552.90171
26.98776,948389954,886.381243,1375.773759,282.297174,1352.164865,0.908367,1315.2268066406,1352.164865
24.989732,659230265.6,943.333874,1094.346962,279.389428,3242.936671,0.937748,3148.93359375,3242.936671
44.017127,616015025,943.148961,1432.088614,307.994566,438.419321,0.459978,450.6627502441,438.419321
23.643456,564107907.1,913.862894,1472.568202,317.992526,655.005245,0.858388,669.9360351563,655.005245
37.746205,977641854.4,966.307272,1339.636114,289.615169,1675.155739,0.838355,1770.1533203125,1675.155739
29.442033,868528590.3,918.654375,1326.508306,305.998671,1461.932133,0.892101,1451.6400146484,1461.932133
43.621723,776370308.4,810.271008,1371.907525,287.776515,742.394708,0.690937,771.9747924805,742.394708
11.603097,566466954.1,853.558793,1049.229684,314.368665,2313.080409,0.987264,2325.5036621094,2313.080409
