P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1181.26,323.15,0.9901057809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1176.26,253,0.9892241752
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1176.26,267.03,0.9892241752
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1176.26,281.06,0.9892241752
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1176.26,295.09,0.9892241752
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1176.26,309.12,0.9892241752
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1176.26,323.15,0.9892241752
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1171.26,253,0.9885740742
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1171.26,267.03,0.9885740742
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1171.26,281.06,0.9885740742
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1171.26,295.09,0.9885740742
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1171.26,309.12,0.9885740742
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.94,1171.26,323.15,0.9885740742
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1196.26,253,1.0014317064
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1196.26,267.03,1.0014317064
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1196.26,281.06,1.0014317064
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1196.26,295.09,1.0014317064
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1196.26,309.12,1.0014317064
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1196.26,323.15,1.0014317064
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1191.26,253,0.9990815557
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1191.26,267.03,0.9990815557
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1191.26,281.06,0.9990815557
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1191.26,295.09,0.9990815557
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1191.26,309.12,0.9990815557
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1191.26,323.15,0.9990815557
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1186.26,253,0.9966445377
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1186.26,267.03,0.9966445377
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1186.26,281.06,0.9966445377
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1186.26,295.09,0.9966445377
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1186.26,309.12,0.9966445377
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1186.26,323.15,0.9966445377
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1181.26,253,0.9941214962
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1181.26,267.03,0.9941214962
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1181.26,281.06,0.9941214962
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1181.26,295.09,0.9941214962
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1181.26,309.12,0.9941214962
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1181.26,323.15,0.9941214962
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1176.26,253,0.9915081686
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1176.26,267.03,0.9915081686
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1176.26,281.06,0.9915081686
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1176.26,295.09,0.9915081686
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1176.26,309.12,0.9915081686
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1176.26,323.15,0.9915081686
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1171.26,253,0.9898341775
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1171.26,267.03,0.9898341775
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1171.26,281.06,0.9898341775
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1171.26,295.09,0.9898341775
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1171.26,309.12,0.9898341775
10000000,1196.26,22940517.94,3.87,29.09,165.8,1.05,1171.26,323.15,0.9898341775
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1262.79,253,0.9461871374
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1262.79,267.03,0.9461871374
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1262.79,281.06,0.9461871374
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1262.79,295.09,0.9461871374
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1262.79,309.12,0.9461871374
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1262.79,323.15,0.9461871374
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1257.79,253,0.9425863164
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1257.79,267.03,0.9425863164
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1257.79,281.06,0.9425863164
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1257.79,295.09,0.9425863164
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1257.79,309.12,0.9425863164
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1257.79,323.15,0.9425863164
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1252.79,253,0.9389067217
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1252.79,267.03,0.9389067217
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1252.79,281.06,0.9389067217
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1252.79,295.09,0.9389067217
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1252.79,309.12,0.9389067217
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1252.79,323.15,0.9389067217
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1247.79,253,0.9351301064
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1247.79,267.03,0.9351301064
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1247.79,281.06,0.9351301064
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1247.79,295.09,0.9351301064
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1247.79,309.12,0.9351301064
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1247.79,323.15,0.9351301064
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1242.79,253,0.931276519
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1242.79,267.03,0.931276519
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1242.79,281.06,0.931276519
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1242.79,295.09,0.931276519
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1242.79,309.12,0.931276519
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1242.79,323.15,0.931276519
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1237.79,253,0.9277779537
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1237.79,267.03,0.9277779537
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1237.79,281.06,0.9277779537
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1237.79,295.09,0.9277779537
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1237.79,309.12,0.9277779537
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.5,1237.79,323.15,0.9277779537
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1262.79,253,0.9639692588
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1262.79,267.03,0.9639692588
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1262.79,281.06,0.9639692588
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1262.79,295.09,0.9639692588
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1262.79,309.12,0.9639692588
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1262.79,323.15,0.9639692588
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1257.79,253,0.9607828215
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1257.79,267.03,0.9607828215
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1257.79,281.06,0.9607828215
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1257.79,295.09,0.9607828215
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1257.79,309.12,0.9607828215
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1257.79,323.15,0.9607828215
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1252.79,253,0.9575192739
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1252.79,267.03,0.9575192739
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1252.79,281.06,0.9575192739
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1252.79,295.09,0.9575192739
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1252.79,309.12,0.9575192739
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1252.79,323.15,0.9575192739
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1247.79,253,0.954184168
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1247.79,267.03,0.954184168
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1247.79,281.06,0.954184168
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1247.79,295.09,0.954184168
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1247.79,309.12,0.954184168
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1247.79,323.15,0.954184168
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1242.79,253,0.9507519313
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1242.79,267.03,0.9507519313
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1242.79,281.06,0.9507519313
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1242.79,295.09,0.9507519313
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1242.79,309.12,0.9507519313
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1242.79,323.15,0.9507519313
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1237.79,253,0.9472345506
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1237.79,267.03,0.9472345506
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1237.79,281.06,0.9472345506
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1237.79,295.09,0.9472345506
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1237.79,309.12,0.9472345506
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.61,1237.79,323.15,0.9472345506
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.72,1262.79,253,0.9786049922
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.72,1262.79,267.03,0.9786049922
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.72,1262.79,281.06,0.9786049922
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.72,1262.79,295.09,0.9786049922
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.72,1262.79,309.12,0.9786049922
10000000,1262.79,20640268.32,3.22,20.93,123.36,0.72,1262.79,323.15,0.9786049922
