Category_id,keyword,Category
19,pondok citra grogol,Makan dan minum
19,pondok iga,Makan dan minum
19,pondok pesanggrahan,Makan dan minum
19,popolamama,Makan dan minum
19,princess syahrini,Makan dan minum
19,pujasera,Makan dan minum
19,puri 88,Makan dan minum
19,puri laut seafood,Makan dan minum
19,putien,Makan dan minum
19,queen palace,Makan dan minum
19,raacha suki,Makan dan minum
19,rasane,Makan dan minum
19,red bean,Makan dan minum
19,red duck,Makan dan minum
19,resep ibu,Makan dan minum
19,restoran kbon klapa,Makan dan minum
19,ribenkoff,Makan dan minum
19,rice bowl,Makan dan minum
19,richeese factory,Makan dan minum
19,riung sunda,Makan dan minum
19,rose garden,Makan dan minum
19,sababay,Makan dan minum
19,sahabat,Makan dan minum
19,samudra,Makan dan minum
19,samudra suki,Makan dan minum
19,sari bundo,Makan dan minum
19,sari indah,Makan dan minum
19,sate khas senayan,Makan dan minum
19,sate tomang,Makan dan minum
19,school food blooming mari,Makan dan minum
19,secret recipe,Makan dan minum
19,sederhana,Makan dan minum
19,sederhana bintaro,Makan dan minum
19,sen lie,Makan dan minum
19,serassa nusantara,Makan dan minum
19,seven to 7,Makan dan minum
19,shabu shabu express,Makan dan minum
19,shabu slim,Makan dan minum
19,shabu tei japanese,Makan dan minum
19,shabu tei x' press,Makan dan minum
19,shabuya,Makan dan minum
19,shin yuan,Makan dan minum
19,siam garden,Makan dan minum
19,siauw a tjiap,Makan dan minum
19,sichuan palace,Makan dan minum
19,siera,Makan dan minum
19,sin sin,Makan dan minum
19,sindbad,Makan dan minum
19,singapore bistro,Makan dan minum
19,singapore hainanese chicken rice,Makan dan minum
19,sizzler,Makan dan minum
19,ski ya,Makan dan minum
19,sms,Makan dan minum
19,society +,Makan dan minum
19,solaria,Makan dan minum
19,somboon,Makan dan minum
19,song fa bakut the,Makan dan minum
19,stadium,Makan dan minum
19,starbucks,Makan dan minum
19,starbucks coffee,Makan dan minum
19,starfly cafã©,Makan dan minum
19,suan thai,Makan dan minum
19,sun city,Makan dan minum
19,sushi hana,Makan dan minum
19,sushi joobu,Makan dan minum
19,sushi kiosk,Makan dan minum
19,sushi miyabi,Makan dan minum
19,sushi mori,Makan dan minum
19,sushi tei,Makan dan minum
19,sushigroove,Makan dan minum
19,sushinaga,Makan dan minum
19,swike asli jtw,Makan dan minum
19,ta wan,Makan dan minum
19,takigawa,Makan dan minum
19,talaga sampireun,Makan dan minum
19,tawan,Makan dan minum
19,tenya,Makan dan minum
19,texas chicken,Makan dan minum
19,the coffee bean & tea leaf,Makan dan minum
19,the company house & of steak,Makan dan minum
19,the duck king,Makan dan minum
19,the duck king - noodle house,Makan dan minum
19,the factory bistro & bar,Makan dan minum
19,the foodhall kitchen,Makan dan minum
19,the harbour restaurant,Makan dan minum
19,the manhattan fish market,Makan dan minum
19,the panecook,Makan dan minum
19,the royal jade restoran,Makan dan minum
19,the soup,Makan dan minum
19,the square,Makan dan minum
19,tio chiu,Makan dan minum
19,tokio kitchen,Makan dan minum
19,tomo japan,Makan dan minum
19,tony roma's,Makan dan minum
19,top yammie,Makan dan minum
19,trattoria,Makan dan minum
19,twelve cup cakes,Makan dan minum
19,vines,Makan dan minum
19,v-shop,Makan dan minum
19,waku grill,Makan dan minum
19,wang fu ciu chia,Makan dan minum
19,waraku,Makan dan minum
19,waraku gohan,Makan dan minum
19,waroeng kita,Makan dan minum
19,waroeng kopi,Makan dan minum
19,warung tekko,Makan dan minum
19,washoku sato,Makan dan minum
19,wen zhou hai xian lou,Makan dan minum
19,wendy's,Makan dan minum
19,x.o suki,Makan dan minum
19,x.o suki restaurant,Makan dan minum
19,yangrest makmur,Makan dan minum
19,yipin,Makan dan minum
19,yoshinoya,Makan dan minum
19,young ho exspres,Makan dan minum
19,yu pin xuan,Makan dan minum
19,""" 24 """,Makan dan minum
19,127 cafã©,Makan dan minum
19,360 (tiga ratus enam puluh derajat),Makan dan minum
19,48 dimsum place,Makan dan minum
19,8 treasures,Makan dan minum
19,a.o.i,Makan dan minum
19,absolute cafã©,Makan dan minum
19,adem ayem,Makan dan minum
19,after hour,Makan dan minum
19,ah yat abalone forum,Makan dan minum
19,ah yat seafood restaurant,Makan dan minum
19,al jazeerah,Makan dan minum
19,albahar alahmar,Makan dan minum
19,alibaba steak & iga bakar,Makan dan minum
19,alis,Makan dan minum
19,american chili's grill & bar,Makan dan minum
19,american hamburger,Makan dan minum
19,angus house,Makan dan minum
19,apero,Makan dan minum
19,aro aroy,Makan dan minum
19,auditorium blitzmegaplax,Makan dan minum
19,auroz,Makan dan minum
19,avec moi,Makan dan minum
19,aw kitchen,Makan dan minum
19,ayam bulungan,Makan dan minum
19,ayam goreng suharti,Makan dan minum
19,b/c-kafe betawi,Makan dan minum
19,baker's inn,Makan dan minum
19,bakmi balap,Makan dan minum
19,bakmi jakarta,Makan dan minum
19,bakmi kriting,Makan dan minum
19,bakmi naga,Makan dan minum
19,bakmi toko tiga,Makan dan minum
19,bakudapa,Makan dan minum
19,bakul tukul,Makan dan minum
19,bale lombok,Makan dan minum
19,bali terrace,Makan dan minum
19,bangi kopitiam,Makan dan minum
19,baroque,Makan dan minum
19,baruna bistro,Makan dan minum
19,basha restaurant,Makan dan minum
19,batavia,Makan dan minum
19,beautika,Makan dan minum
19,bebek bengil dirty duck dinner,Makan dan minum
19,beer garden,Makan dan minum
19,beirut lebanon,Makan dan minum
19,benihana,Makan dan minum
19,beras merah,Makan dan minum
19,bistro baron,Makan dan minum
19,black canyon coffee,Makan dan minum
19,black cat,Makan dan minum
19,black cave,Makan dan minum
19,black pearl cafã©,Makan dan minum
19,blacksteer,Makan dan minum
19,bloeming,Makan dan minum
19,blue erawan,Makan dan minum
19,bong kopitown,Makan dan minum
19,boon chang kee,Makan dan minum
19,brew & co,Makan dan minum
19,brew house,Makan dan minum
19,brewerkz,Makan dan minum
19,brown bag,Makan dan minum
19,bubur kwang tung,Makan dan minum
19,bugsy's,Makan dan minum
19,bumbu tjobek,Makan dan minum
19,bunga rampai,Makan dan minum
19,bushido japanese restaurant,Makan dan minum
19,by the beach,Makan dan minum
19,c e o,Makan dan minum
19,c' one cempaka putih,Makan dan minum
19,cafã‰ 5th avenue,Makan dan minum
19,cafã© cappuccino,Makan dan minum
19,cafã© fashion pasta,Makan dan minum
19,cafã© oh lala,Makan dan minum
19,cafe the barista,Makan dan minum
19,cahaya kota,Makan dan minum
19,cak' tu' ci',Makan dan minum
19,canteen,Makan dan minum
19,carlo de huts,Makan dan minum
19,cassis,Makan dan minum
19,cava,Makan dan minum
19,cazasuki,Makan dan minum
19,chandara,Makan dan minum
19,cheese & caviar,Makan dan minum
19,chef's bakery,Makan dan minum
19,cherry,Makan dan minum
19,chill in cafe,Makan dan minum
19,chopstix,Makan dan minum
19,cipta cafã©,Makan dan minum
19,coffee break,Makan dan minum
19,coffee club,Makan dan minum
19,coffee world,Makan dan minum
19,colours,Makan dan minum
19,c'one cempaka putih,Makan dan minum
19,cork & screw,Makan dan minum
19,cream & fudge,Makan dan minum
19,crystal jade la mian xiao long bao,Makan dan minum
19,crystal jade meal cube,Makan dan minum
19,crystal jade my bread,Makan dan minum
19,crystal jade palace,Makan dan minum
19,crystal jade restaurant,Makan dan minum
19,cuppa coffee,Makan dan minum
19,d' consulat,Makan dan minum
19,d core,Makan dan minum
19,d' rox,Makan dan minum
19,d' stupid baker,Makan dan minum
19,d' sushi bodo,Makan dan minum
19,da jia fu,Makan dan minum
19,da tang restoran,Makan dan minum
19,daily kitchen,Makan dan minum
19,dapoer podjok,Makan dan minum
19,dapur babah elite & tao bar,Makan dan minum
19,de gourmet kitchen,Makan dan minum
19,de luca,Makan dan minum
19,demang,Makan dan minum
19,desi dapur,Makan dan minum
19,dharma kitchen,Makan dan minum
19,diagonale,Makan dan minum
19,dill's,Makan dan minum
19,dinemax,Makan dan minum
19,do' an,Makan dan minum
19,domain,Makan dan minum
19,domus demos resto,Makan dan minum
19,double bay,Makan dan minum
19,dream,Makan dan minum
19,eatology,Makan dan minum
19,echigoya ramen,Makan dan minum
19,edutainment one,Makan dan minum
19,ekaria,Makan dan minum
19,eksotik,Makan dan minum
19,emporium,Makan dan minum
19,en dining,Makan dan minum
19,enmaru,Makan dan minum
19,ephicure,Makan dan minum
19,espressamente illy,Makan dan minum
19,ever fresh,Makan dan minum
19,fab cafe,Makan dan minum
19,fajar,Makan dan minum
19,fashion,Makan dan minum
19,fat burger,Makan dan minum
19,fatback,Makan dan minum
19,fish & co seafood shack,Makan dan minum
19,flanagan's irish pub & restaurant,Makan dan minum
19,fok luk sau,Makan dan minum
19,foodism,Makan dan minum
19,fook yew,Makan dan minum
19,fortune,Makan dan minum
19,frangipani cafe,Makan dan minum
19,front page,Makan dan minum
19,fuku ten,Makan dan minum
19,fx music bistro,Makan dan minum
19,gado gado boplo,Makan dan minum
19,gaia ristorante,Makan dan minum
19,galare ice cream,Makan dan minum
19,galeri cafe,Makan dan minum
19,ganesha ek sanskriti,Makan dan minum
19,gang gang sulai,Makan dan minum
19,garcon,Makan dan minum
19,garuda,Makan dan minum
19,gb bistro,Makan dan minum
19,goemon,Makan dan minum
19,gokana teppan,Makan dan minum
19,goma ramen,Makan dan minum
19,grand brilliant palace,Makan dan minum
19,grand suki,Makan dan minum
19,grato cafe and bistro,Makan dan minum
19,gudeg bu tjitro,Makan dan minum
19,gyu kaku restaurant,Makan dan minum
19,h s,Makan dan minum
19,haagen dazs ice cream,Makan dan minum
19,hacienda mexican bar & grill,Makan dan minum
19,hadramout,Makan dan minum
19,haka,Makan dan minum
19,hanamasa yakiniku,Makan dan minum
19,hanei,Makan dan minum
19,happy day,Makan dan minum
