transaction_id,ent
328171,['persada']
329930,['plaza']
330299,['tokopedia']
330300,"['tokopedia', 'tokopedia']"
330305,['tokopedia']
332659,['informa']
333733,['tokopedia']
333747,"['spotify', 'spotify']"
333809,['shopee']
333819,"['spotify', 'spotify']"
334295,['tokopedia']
334296,"['tokopedia', 'tokopedia']"
335550,['jajan']
338149,[]
338150,[]
338154,['bibit']
338155,['bibit']
338160,['bibit']
341866,['tokopedia']
342837,['plaza']
342898,['shopee']
343617,['informa']
344964,['pendapatan']
344996,['kredit']
345128,['kredit']
345702,"['dokter', 'invest']"
345780,"['dokter', 'invest']"
345826,[]
345831,[]
345832,[]
345836,['bibit']
345837,['bibit']
345868,['kopi']
345886,"['sushi', 'sushi tei']"
346372,['tokopedia']
347714,['shopee']
347716,['shopee']
347722,['shopee']
347724,[]
347726,['bibit']
347729,['bibit']
347735,['shopee']
347773,['shopee']
347793,['shopee']
347807,['shopee']
347858,['shopee']
347860,['shopee']
347863,['shopee']
347865,['shopee']
347898,['jajan']
347918,['sms']
347921,['shopee']
347927,['jajan']
347936,['shopee']
352823,['bibit']
354335,"['cicilan', 'cicilan']"
354338,"['cicilan', 'cicilan', 'cicilan']"
354343,['gaji']
354346,['bibit']
354360,['gaji']
355194,['invest']
355196,['shopee']
355201,['invest']
355211,['shopee']
355213,['shopee']
355215,['invest']
358999,['bonus']
359389,"['dokter', 'invest']"
360174,['bibit']
1707154,['tokopedia']
1707127,['jasons']
1707149,"['kopi', 'ming']"
2332380,['shopee']
1983987,['gaji']
361161,['shopee']
361163,['shopee']
361305,['shopee']
361307,['shopee']
361310,['shopee']
361312,['shopee']
361399,"['mezzaluna', 'mezzaluna']"
361401,['gaji']
361411,"['cicilan', 'cicilan', 'cicilan']"
361416,['gaji']
361469,['bibit']
361470,['bibit']
361732,[]
361733,[]
361737,['bibit']
361738,['bibit']
361743,['bibit']
1983989,['bibit']
362118,['tokopedia']
362194,['shopee']
362516,['plaza']
362548,['kredit']
362569,['shopee']
362574,['plaza']
362695,['bibit']
3172864,['shopee']
366455,['mie']
366461,['shopee']
367952,['shopee']
368889,['tokopedia']
368892,['tokopedia']
368897,"['tokopedia', 'tokopedia']"
368903,"['tokopedia', 'tokopedia']"
368905,['tokopedia']
368917,['tokopedia']
368933,['tokopedia']
368934,"['tokopedia', 'tokopedia']"
368939,['tokopedia']
368941,"['tokopedia', 'tokopedia']"
368960,['tokopedia']
368968,"['tokopedia', 'tokopedia']"
368969,"['tokopedia', 'tokopedia']"
368972,['tokopedia']
368976,"['tokopedia', 'tokopedia']"
368979,['tokopedia']
368985,['tokopedia']
368988,['tokopedia']
368997,['tokopedia']
369009,"['tokopedia', 'tokopedia']"
369015,"['tokopedia', 'tokopedia']"
369020,"['tokopedia', 'tokopedia']"
369146,['shopee']
369148,['tokopedia']
369165,['tokopedia']
369167,['tokopedia']
369169,['tokopedia']
369172,['tokopedia']
369174,['tokopedia']
369203,"['jajan', 'jajan', 'jajan']"
369204,['tokopedia']
369207,['shopee']
369246,"['tokopedia', 'tokopedia']"
369266,['bibit']
369277,['bibit']
369278,['bibit']
370238,['shopee']
372166,['informa']
372202,['bibit']
372203,['bibit']
372207,['bibit']
372331,['jajan']
372348,"['invest', 'sapi']"
372353,['bibit']
372379,['kredit']
372600,[]
372605,[]
372606,[]
372610,['bibit']
372611,['bibit']
372642,['kopi']
372651,['plaza']
372657,['plaza']
372660,"['sushi', 'sushi tei']"
373080,['shopee']
373087,['shopee']
378498,['midori']
378526,['vitamin']
378673,['mezzaluna']
378678,"['mezzaluna', 'mezzaluna']"
378680,['gaji']
378875,['shopee']
378883,['shopee']
379639,['bonus']
379685,['gaji']
379844,['bunga']
772939,['bonus']
4241440,['shopee']
772909,['agung']
394032,['listrik']
3318227,['plaza']
4241446,['traveling']
396190,['jajan']
396467,['bibit']
396486,['fuji']
396490,['bibit']
398093,['shopee']
398108,['plaza']
398139,['shopee']
398157,['happy']
398197,['shopee']
399813,['jajan']
415654,['plaza']
415638,[]
415697,['tokopedia']
415708,['tokopedia']
1089266,['listrik']
773051,['aulia']
773058,['plaza']
773030,['aulia']
418718,['grab']
418732,['bunga']
773033,['firdaus']
773059,['plaza']
420603,['plaza']
420577,['shopee']
420619,['plaza']
420617,['sekar']
420630,['sate']
420639,['shopee']
420674,['plaza']
420681,['plaza']
420676,['arosa']
567376,['wifi']
423416,['grab']
415630,[]
1729139,['listrik']
425667,['martabak']
567353,"['tokopedia', 'tokopedia']"
567356,"['tokopedia', 'tokopedia']"
426269,['tokopedia']
426339,['bibit']
426362,['mcd']
426349,['bibit']
426431,['mitra']
426452,['shopee']
426462,['netflix']
426465,['netflix']
426516,['mitra']
426541,['tokopedia']
426551,['mitra']
426590,['mitra']
426591,['shopee']
426624,['tokopedia']
426629,['tokopedia']
426642,['shopee']
426646,['shopee']
426648,['shopee']
426649,['tokopedia']
426666,['netflix']
426675,['shopee']
426683,['netflix']
673657,['bibit']
673666,['tokopedia']
673669,['shopee']
673674,['bibit']
427460,"['sop', 'sop']"
428705,['lunch']
428681,"['batagor', 'agung', 'batagor']"
428679,"['cicilan', 'cicilan', 'cicilan']"
428694,['nasi']
674283,['laura']
674284,['shopee']
1985553,['shopee']
568755,['coffee']
428747,['netflix']
428708,['agung']
428734,['sahabat']
428710,"['roti', 'sekar']"
428716,['nasi']
428719,['pulsa']
428713,['lunch']
428722,['sahabat']
428760,"['cicilan', 'cicilan']"
428756,['kopi']
428819,['ayam']
428820,['mie']
428793,['sahabat']
428790,['sahabat']
428800,[]
428822,"['cicilan', 'cicilan']"
428856,['sahabat']
428833,['lunch']
428851,['sahabat']
428878,"['cicilan', 'cicilan', 'cicilan']"
428879,['pulsa']
1708058,['bar']
1071831,['pulsa']
430471,['plaza']
430548,['plaza']
431244,['sms']
431248,['sms']
431252,['sms']
1089318,['listrik']
674639,['firdaus']
674641,"['firdaus', 'firdaus']"
674677,['gaji']
