Name,Rating,NumberOfUser,Address,lat,lon
Kopi Kalyan,4.5,1994,"Jl. Cikajang No.61, RT.7/RW.5, Petogogan, Kota Jakarta Selatan",-6.2432904,106.8091507
Sagaleh,4.5,378,"Jl. Sungai Sambas VI No.7, RT.6/RW.5, Kramat Pela, Kota Jakarta Selatan",-6.2465176,106.7972166
Kopi Nalar,4.5,1302,"Jl. Prof. Joko Sutono SH No.7, RT.14/RW.6, Petogogan, Kota Jakarta Selatan",-6.242093,106.8079145
KOPI SANA,4.4,294,"Jl. Panglima Polim V No.38, RT.1/RW.7, Melawai, Jakarta",-6.250697,106.79797
KOLO Kopi Lokal,4.6,627,"Jl. Wijaya II No.56, Melawai, Kota Jakarta Selatan",-6.2513889,106.8027778
Saksama coffee,4.7,20,"Jl. Panglima Polim II No.32 C, RT.3/RW.3, Melawai, Kota Jakarta Selatan",-6.251127,106.801242
Monochrome,4.2,5,"1 No. Jalan Kemang Raya No. 75, RT.13/RW.1, Bangka, Kota Jakarta Selatan",-6.255416,106.812314
Tanamera Coffee & Roastery Ahmad Dahlan,4.4,1370,"Jl. KH. Ahmad Dahlan Kby. No.16, RW.1, Kramat Pela, Kota Jakarta Selatan",-6.2458942,106.7918392
Kopi Muja,4.4,121,"Jl. Ahmad Dahlan No.18, RT.14/RW.1, Kramat Pela, Kota Jakarta Selatan",-6.246042,106.791758
"1/15 Coffee, Gandaria",4.4,1632,"Jl. Gandaria 1 No.63, RT.2/RW.3, Kramat Pela, Kota Jakarta Selatan",-6.2481153,106.7903549
Kopi Kalyan,4.6,1097,"Jl. Barito II No.19, RT.4/RW.7, Kramat Pela, Kota Jakarta Selatan",-6.2438303,106.7933652
Coffeedential To Go! Kby Baru,4.5,32,"Inside Ann's Bakehouse, Jl. Sungai Sambas 3 No.12, RW.5, Kramat Pela, Jakarta",-6.2474788,106.7953008
Kopi Pak Wawan,4.9,15,"Jl. Raya Pasar Minggu No.17a, RT.1/RW.3, Pejaten Bar., Kota Jakarta Selatan",-6.2719688,106.8463485
Anomali Coffee Kemang,4.4,1205,"Jl. Kemang Raya No.72, RW.2, Bangka, Kota Jakarta Selatan",-6.2673739,106.8154768
Merdeka Coffee,5,2,"JL. Kemang Selatan 1, Kemang, RT.8/RW.3, Bangka, Kota Jakarta Selatan",-6.2652121,106.8205555
CHIEF COFFEE - KEMANG,4.6,389,"Jl. Kemang Raya No.27 D, Bangka, Kota Jakarta Selatan",-6.2601111,106.8154583
Java Soul Coffee,4.7,58,"Jalan Kemang Timur N. 50E, RT.7/RW.3, RW7, Bangka, Kota Jakarta Selatan",-6.2662808,106.8238744
Kedai Kopi Sigli,4.3,48,"Jl. Kemang Raya No.18B, RW.5, Bangka, Kota Jakarta Selatan",-6.2589991,106.8150265
Goni Coffee,4.6,322,"Jl. Kemang Timur Raya No. 78CD, RT.4/RW.3, Bangka, Kota Jakarta Selatan",-6.270276,106.8238288
"1/15 Coffee, Kemang",4.5,405,"Jl. Kemang Raya No.37, Bangka, Kota Jakarta Selatan",-6.2620715,106.8159347
Keep on Going Coffee Roaster,0,0,"Jl. Abdul Majid Raya No.14A, RT.4/RW.5, Cipete Utara, Kota Jakarta Selatan",-6.2664597,106.8002448
Kopi Boutique Roastery,4.6,250,"Jl. Puri Sakti Buntu 1 Jl. Pangeran Antasari No.36, RT.1/RW.1, Cipete Sel., Kota Jakarta Selatan",-6.2726945,106.8084195
Little 3K Coffee Roastery,5,3,"Jl. Wahyu II No.6H, RT.1/RW.5, Gandaria Sel., Kota Jakarta Selatan",-6.2741988,106.7965496
Dikolom Coffee,4.4,195,"Jl. Puri Sakti I No.26A, RW.6, Cipete Sel., Kota Jakarta Selatan",-6.2729309,106.809672
