H_drop_design,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv
22.472843,833698209.1,966.760749,1386.92461,286.436591,1390.440927,0.924032
26.835654,617648005.8,846.340621,1109.174758,310.788742,1734.604882,0.919576
7.954184,606419640.2,858.186492,1093.975997,274.64882,2052.598277,0.993859
20.899424,401023354.1,798.367324,1394.590198,317.014229,452.246675,0.866104
46.400224,167033318.9,863.803397,1247.924279,298.667638,0,0
23.20445,365906037.3,920.949981,1112.899369,283.121488,1350.484175,0.893658
33.30553,877151416.1,841.53994,1299.569487,290.529906,1308.294214,0.874409
9.294901,843359088.1,835.286348,1449.747913,287.749763,1038.604005,0.987276
46.70783,4040858.33,969.288817,1089.400411,263.564425,-340.492884,0
23.659859,914629124.6,957.861757,1466.242571,304.568648,1233.724371,0.912129
6.854379,505450185.5,814.02317,1333.683928,301.251445,752.443799,0.990642
17.030349,503415805.4,949.494969,1471.998444,316.932397,662.005316,0.913549
26.691926,416536817.9,926.368042,1239.596628,301.513506,870.634948,0.841735
37.1933,753981027.2,833.654117,1310.964787,295.986657,1002.082548,0.81226
17.248505,836392860,805.824805,1075.432391,273.041872,2467.717457,0.979094
45.288907,919227480.7,911.529179,1281.210519,264.788823,1502.283592,0.779508
24.4563,938238056,795.760385,1391.622634,275.65434,1127.998323,0.922042
37.670246,881887390.2,893.444071,1449.49364,283.363058,938.171943,0.778227
39.930445,302671143.9,945.802583,1034.590049,271.689609,1860.404692,0.682939
35.513655,611617778.9,792.750077,1462.395811,313.041458,477.995494,0.679628
10.873873,657533618.4,949.139302,1375.097042,304.712064,1151.13315,0.979446
17.950943,296218058.7,773.854106,1106.397584,294.949977,666.786315,0.920854
14.666779,354902599.2,793.641525,1057.876157,310.509671,1054.860079,0.961933
26.870416,775399528,824.680818,1094.555823,282.653276,2176.494224,0.938207
47.181391,158753814,781.785626,1249.46722,275.598373,0,0
34.485969,887221262,911.542613,1151.239863,297.72356,2627.877342,0.899346
13.517622,327447875,848.410196,1337.57715,301.021855,484.577458,0.932367
32.37237,908817011.1,831.248552,1172.817935,300.58412,1929.921144,0.910145
17.193837,622990111.3,803.265445,1396.8443,291.716008,763.719106,0.938301
12.688797,753487789.9,778.101333,1359.037311,303.620135,990.263701,0.975654
49.615776,964615902.8,824.936473,1398.422914,305.45092,856.120608,0.658609
38.964489,275109179.8,891.053202,1198.843267,311.232524,280.766689,0.399404
18.735178,152558260.4,821.490471,1359.537224,274.696533,147.29816,0.668365
17.275169,507095445,829.382541,1029.078434,288.66436,2003.299346,0.967687
13.283738,17032402.47,780.912036,1184.727134,274.456912,0,0
19.215147,405517530.8,874.154252,1342.581965,306.613128,599.221638,0.895553
28.545885,994815679,858.493836,1392.993417,315.353266,1291.505282,0.901728
45.334707,752688238.1,783.916772,1380.154273,297.110859,623.852168,0.633911
38.91477,669399942.8,938.646026,1436.728763,280.81029,673.661866,0.662558
35.78977,81365011.17,778.409645,1400.510914,307.624086,-0.995093,0
47.718306,983679220.1,886.903641,1043.492638,271.747775,4372.92703,0.864108
14.10568,156842010,915.839127,1436.191362,281.385075,185.073756,0.808985
39.343295,751560278.3,834.401462,1189.471582,287.965222,1407.507583,0.836881
23.679842,286644406.1,846.195306,1202.988661,303.771524,529.154335,0.832137
7.947351,694209131.2,912.718436,1375.57957,266.965182,1136.41612,0.990138
8.066226,736557631,834.252482,1435.54646,302.891555,930.802364,0.989418
40.839447,160972125.9,897.637323,1068.465166,300.029597,0,0
31.377191,290459055.3,857.237226,1386.392445,270.741017,182.767356,0.432229
37.489233,735354675.9,926.736018,1418.313115,288.466131,844.090981,0.74289
15.481217,698749414.9,859.394724,1040.224109,281.332413,3070.729163,0.981476
22.680355,679859616.4,775.308473,1335.512533,294.297379,873.772047,0.916662
6.213169,316161838.8,906.911981,1191.212277,290.271264,865.228377,0.990593
8.347264,505698685.3,828.35923,1242.354114,294.714734,952.78791,0.988304
22.909292,863017171.2,956.980613,1129.449181,287.178702,3769.211205,0.957782
