P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,T_high,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
27488831.35,1250.02,24600762.45,2.81,838.66,1150.0213845011215,1.0,1244.65,264.14,0.5972855103547798,1.0953246829291052
27488831.35,1250.02,24600762.45,2.81,838.66,1150.0213845011215,0.96,1240.4,306.79,0.58655727153737,1.090214557729441
27488831.35,1250.02,24600762.45,2.81,838.66,1150.0213845011215,0.52,1237.48,275.73,0.5830007270940062,1.061322373888113
27488831.35,1250.02,24600762.45,2.81,838.66,1150.0213845011215,0.74,1235.55,285.61,0.5880824440391264,1.0739183649637587
27488831.35,1250.02,24600762.45,2.81,838.66,1158.9102733900104,1.01,1237.51,303.54,0.5903800010862054,1.0936564254769392
27488831.35,1250.02,24600762.45,2.81,838.66,1158.9102733900104,0.72,1247.56,278.51,0.5950668175536131,1.084594907854966
27488831.35,1250.02,24600762.45,2.81,838.66,1158.9102733900104,0.6,1236.11,306.43,0.5789360981741721,1.0671349142871507
27488831.35,1250.02,24600762.45,2.81,838.66,1158.9102733900104,0.67,1245.64,312.49,0.5843341227130753,1.0797422073975016
27488831.35,1250.02,24600762.45,2.81,838.66,1158.9102733900104,0.86,1244.3,283.88,0.5976258705636812,1.0907704801328484
27488831.35,1250.02,24600762.45,2.81,838.66,1158.9102733900104,0.96,1248.15,269.1,0.601189252819859,1.0988203963892973
27488831.35,1250.02,24600762.45,2.81,838.66,1158.9102733900104,0.51,1240.29,293.05,0.5839030508352959,1.0637141965246966
27488831.35,1250.02,24600762.45,2.81,838.66,1158.9102733900104,0.79,1242.2,271.11,0.595274538642157,1.0850531128101604
27488831.35,1250.02,24600762.45,2.81,838.66,1167.7991622788993,0.64,1242.55,309.8,0.5856522588834039,1.0776942686993127
27488831.35,1250.02,24600762.45,2.81,838.66,1167.7991622788993,0.91,1249.7,298.73,0.5955795431038021,1.1005124838120428
27488831.35,1250.02,24600762.45,2.81,838.66,1167.7991622788993,0.76,1238.2,269.13,0.5967126099921951,1.0830991523262248
27488831.35,1250.02,24600762.45,2.81,838.66,1167.7991622788993,0.97,1240.03,272.35,0.6025199815837942,1.0965434576982458
27488831.35,1250.02,24600762.45,2.81,838.66,1167.7991622788993,0.54,1235.57,293.86,0.5853512768523026,1.0637957185884905
27488831.35,1250.02,24600762.45,2.81,838.66,1167.7991622788993,0.59,1244.73,282.83,0.5933603958040617,1.0753745063289755
27488831.35,1250.02,24600762.45,2.81,838.66,1167.7991622788993,0.83,1241.45,315.23,0.5910086127855373,1.089968060504215
27488831.35,1250.02,24600762.45,2.81,838.66,1167.7991622788993,1.05,1247.43,287.66,0.606016648907331,1.1063588720826
27488831.35,1250.02,24600762.45,2.81,838.66,1176.6880511677882,0.94,1244.77,303.6,0.5982609670720029,1.1022592135205476
27488831.35,1250.02,24600762.45,2.81,838.66,1176.6880511677882,0.59,1242.89,264.09,0.5960459236333674,1.0764339364979565
27488831.35,1250.02,24600762.45,2.81,838.66,1176.6880511677882,0.68,1249.16,316.69,0.5925261557800476,1.088505301718775
27488831.35,1250.02,24600762.45,2.81,838.66,1176.6880511677882,1.03,1239.22,272.69,0.6070301310745302,1.1026805957515247
27488831.35,1250.02,24600762.45,2.81,838.66,1176.6880511677882,0.86,1238.73,280.53,0.6031255322626177,1.0928752787020513
27488831.35,1250.02,24600762.45,2.81,838.66,1176.6880511677882,0.71,1235.57,310.09,0.5890759105556931,1.080664475027859
27488831.35,1250.02,24600762.45,2.81,838.66,1176.6880511677882,0.57,1240.99,289.78,0.5938931184096797,1.073140263471399
27488831.35,1250.02,24600762.45,2.81,838.66,1176.6880511677882,0.81,1247.52,293.75,0.6015805820954383,1.096229206076829
27488831.35,1250.02,24600762.45,2.81,838.66,1185.5769400566771,0.51,1242.88,280.37,0.5958559973981007,1.071100868453313
27488831.35,1250.02,24600762.45,2.81,838.66,1185.5769400566771,0.62,1239.93,302.62,0.590717053713268,1.0797122373094314
27488831.35,1250.02,24600762.45,2.81,838.66,1185.5769400566771,1.01,1248.27,284.44,0.6126738176988966,1.1124924872547537
27488831.35,1250.02,24600762.45,2.81,838.66,1185.5769400566771,0.8,1247.35,310.71,0.5990861221051327,1.099404734440807
27488831.35,1250.02,24600762.45,2.81,838.66,1185.5769400566771,0.93,1237.22,316.42,0.5991862956650531,1.0996627061064057
27488831.35,1250.02,24600762.45,2.81,838.66,1185.5769400566771,0.74,1236.3,265.73,0.6025682790389102,1.0866451836628723
27488831.35,1250.02,24600762.45,2.81,838.66,1185.5769400566771,0.64,1245.3,270.25,0.6020476551264863,1.085454356010149
27488831.35,1250.02,24600762.45,2.81,838.66,1185.5769400566771,0.86,1241.18,292.66,0.6053928484480414,1.098549827789874
27488831.35,1250.02,24600762.45,2.81,838.66,1194.4658289455658,1.0,1240.72,276.25,0.6137797523626302,1.1098891698182707
27488831.35,1250.02,24600762.45,2.81,838.66,1194.4658289455658,0.69,1247.78,281.34,0.6079957968304426,1.0949213653361103
27488831.35,1250.02,24600762.45,2.81,838.66,1194.4658289455658,0.91,1236.18,305.25,0.6018654869423163,1.101572409956763
27488831.35,1250.02,24600762.45,2.81,838.66,1194.4658289455658,0.59,1249.27,317.95,0.5958925381218022,1.086693612880303
27488831.35,1250.02,24600762.45,2.81,838.66,1194.4658289455658,0.93,1243.95,290.01,0.6125449263243361,1.1087486737387395
27488831.35,1250.02,24600762.45,2.81,838.66,1194.4658289455658,0.83,1238.64,291.65,0.6079534674418687,1.0984836987474476
27488831.35,1250.02,24600762.45,2.81,838.66,1194.4658289455658,0.72,1240.32,302.52,0.5979138700386335,1.091461703897477
27488831.35,1250.02,24600762.45,2.81,838.66,1194.4658289455658,0.55,1246.03,267.84,0.6019378203020971,1.0802952000739738
27488831.35,1250.02,24600762.45,2.81,838.66,1203.3547178344547,1.05,1236.27,266.16,0.616704850902118,1.1116937448593873
27488831.35,1250.02,24600762.45,2.81,838.66,1203.3547178344547,0.9,1237.42,282.45,0.6141065825775985,1.1051641143579536
27488831.35,1250.02,24600762.45,2.81,838.66,1203.3547178344547,0.58,1249.43,275.65,0.6076823817196024,1.088369828616279
27488831.35,1250.02,24600762.45,2.81,838.66,1203.3547178344547,0.76,1240.91,301.47,0.6028212648175199,1.0985570494719532
27488831.35,1250.02,24600762.45,2.81,838.66,1203.3547178344547,0.95,1244.31,296.36,0.609666373119452,1.1130660143555153
