P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q,eta_gross,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.83,1171.26,323.15,0.9876331077631942,0.433410672477409,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,253.0,0.9974848576322763,0.4555404894191032,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,267.03,0.9974848576322763,0.45554031165980646,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,281.06,0.9974848576322763,0.4555149031006905,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,295.09,0.9974848576322763,0.451883054368133,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,309.12,0.9974848576322763,0.4477431898145645,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1196.26,323.15,0.9974848576322763,0.4477431898145645,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,253.0,0.9949796953615143,0.45341799721572296,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,267.03,0.9949796953615143,0.45341781900886347,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,281.06,0.9949796953615143,0.45339234647601623,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,295.09,0.9949796953615143,0.44975135346598216,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.94,1191.26,309.12,0.9949796953615143,0.44560106555148077,
