Name,Rating,NumberOfUser,Address,lat,lon
nasi goreng,5.0,1,"Jl. Rw. Belong No.23, RW.7, Palmerah, Kota Jakarta Barat",-6.2046223,106.7829254
Kedai Nasi Goreng Kambing Bang Boim,4.3,26,"Jl. Masjid Al Anwar No.37, RT.4/RW.9, Sukabumi Utara, Kota Jakarta Barat",-6.211032299999999,106.7796392
Nasi Goreng Padang Betra,4.7,9,"Jl. Yusuf No.9, RT.4/RW.11, North Sukabumi, West Jakarta City",-6.2072526,106.7799253
Nasi Goreng Bang Alif,0.0,0,"Jl. Salam Raya No.1, RT.7/RW.3, Sukabumi Utara, Kota Jakarta Barat",-6.2049527,106.7788681
Nasi Goreng Gila Mas Idin,4.3,6,"No., Jl. Raya Kby. Lama No.15, RT.4/RW.3, Grogol Utara, Kota Jakarta Selatan",-6.208142,106.7834244
Nasi Goreng 99,0.0,0,"Jalan Anggrek Cakra, RT 04 RW 06 No.16, Sukabumi Utara, Kebon Jeruk, RT.4/RW.6, Sukabumi Utara, Kota Jakarta Barat",-6.2023873,106.7808685
Nasi Goreng D'Saudah,5.0,6,"Jl. Rw. Belong, RT.9/RW.15, Palmerah, Kota Jakarta Barat",-6.2014415,106.7826559
nasi goreng gila rabel,4.8,4,"Jl. Harun Raya No.6A, RT.4/RW.7, Sukabumi Utara, Kota Jakarta Barat",-6.203773,106.7761599
Warung Nasi Goreng Mawuut,4.5,2,"No. 82 Kecamatan Palmerah, Kelurahan, Jl. Raya Kb. Jeruk, RT.9/RW.15, Palmerah, Kota Jakarta Barat",-6.202045999999999,106.782761
Nasi Goreng Gila Warguh,4.6,9,"Jl. Raya Kby. Lama No.14-24, RT.3/RW.1, Sukabumi Utara, Kota Jakarta Barat",-6.2126633,106.7832967
Nasi Goreng Sakur,4.7,6,"Jl. Ee, RT.6, Sukabumi Utara, Kota Jakarta Barat",-6.2123095,106.7786626
Pisang Goreng Crispy Ny. Huang,5.0,1,"Nomer, Jl. U No.25A, RT.7/RW.12, RT.8/RW.15, Palmerah, West Jakarta City",-6.2024304,106.7832886
Nasi Goreng Si Coy,4.3,6,"Jl. Madrasah No.6, RT.9/RW.9, Kb. Jeruk, Kota Jakarta Barat",-6.2016694,106.7773005
Nasi Goreng Alfamart (Sinar Jaya),4.0,3,"Jl. Raya Kby. Lama No.7, RW.1, Grogol Utara, Kota Jakarta Selatan",-6.213612899999999,106.779778
Nasi Goreng Sumawe,4.8,9,"Jl. Kyai H. Syahdan No.16A, RT.7/RW.12, Palmerah, Kota Jakarta Barat",-6.2008158,106.7844425
GerobakZ Nasi Goreng Jepang,4.0,4,"Jl. Kyai H. Syahdan No.19A, RT.6/RW.12, Kemanggisan, Kota Jakarta Barat",-6.200732899999999,106.7838963
Warung Solo Ibu Joko,5.0,3,"Jl. Adam No.12-27, RT.7/RW.2, Sukabumi Utara, Kota Jakarta Barat",-6.208685,106.7816414
Nasi Goreng Kambing Wong Tegal,5.0,1,"Jl. Madrasah I No.2A, RT.7/RW.9, Sukabumi Utara, Kota Jakarta Barat",-6.2137138,106.7749224
Nasi Goreng Gila Mas Roni,4.3,115,"Jalan Kelapa Dua Raya RT.1/RW.2, Kelapa Dua, Kebon Jeruk, RT.7/RW.1, Klp. Dua, Kota Jakarta Barat",-6.2091268,106.7690477
