country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,cloudopacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Pw Units,Relative humidity Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Indonesia,Solcast https://solcast.com,N/A,7,-6.2088,106.8456,10,deg.C,degree,%,deg.C,W/m2,W/m2,W/m2,W/m2,cm,%,cm,mbar,Degrees,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,cloudopacity,Dew Point,DHI,DNI,EBH,GHI,Pw,Relative humidity,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2008,1,5,13,0,24.7,122,0,22.6,0,0,0,0,44.9,88,0,981.6,251,2.6,122,,
2008,1,5,14,0,24,131,0,22.2,0,0,0,0,44.1,89.4,0,982.2,250,2.4,134,,
2008,1,5,15,0,23.6,146,0,21.9,0,0,0,0,43.6,90.4,0,982.3,251,2.3,144,,
2008,1,5,16,0,23.3,168,0,21.8,0,0,0,0,43.3,91,0,982.1,254,2.4,150,,
2008,1,5,17,0,23.1,-165,0,21.7,0,0,0,0,43,91.6,0,981.8,257,2.5,149,,
2008,1,5,18,0,22.9,-144,0,21.5,0,0,0,0,42.8,91.9,0,981.4,259,2.6,143,,
2008,1,5,19,0,22.6,-130,0,21.3,0,0,0,0,42.7,92,0,980.9,261,2.7,132,,
2008,1,5,20,0,22.4,-121,0,21.1,0,0,0,0,42.6,92,0,980.5,263,2.8,120,,
2008,1,5,21,0,22.6,-116,0,21.1,0,0,0,0,42.5,91.4,0,980.6,263,2.8,107,,
2008,1,5,22,0,23.1,-114,0,21.4,3,5,1,4,42.5,90.4,0,981,261,2.6,94,,
2008,1,5,23,0,23.6,-112,0.3,21.7,73,126,31,104,42.5,89.3,0,981.6,259,2.5,80,,
2008,1,6,0,0,24.4,-112,6.5,21.7,173,260,112,284,42.8,85,0,981.9,263,2.6,66,,
2008,1,6,1,0,25.4,-114,2.8,21.5,203,511,323,526,43.4,78.9,0,982.2,271,3,53,,
2008,1,6,2,0,26.4,-120,0,21.2,220,660,511,731,44.1,73.1,0,982.4,277,3.4,39,,
2008,1,6,3,0,26.9,-132,0,21.1,233,725,644,877,44.7,70.5,0,982.1,280,3.7,27,,
2008,1,6,4,0,27.2,-162,0.9,21.2,242,749,708,950,45.1,70,0,981.4,281,4,19,,
2008,1,6,5,0,27.3,157,22.6,21.4,432,325,309,741,45.6,70,0,980.7,281,4.2,19,,
2008,1,6,6,0,27.2,131,22.9,21.7,439,278,239,678,46,71.9,0,980.1,280,4.2,28,,
2008,1,6,7,0,26.8,119,12.8,22.1,304,468,349,653,46.4,75.4,0,979.7,277,4.1,40,,
2008,1,6,8,0,26.4,114,12.2,22.5,226,455,272,498,46.7,79.2,0,979.3,274,3.9,54,,
2008,1,6,9,0,26.2,112,16.3,22.8,159,321,131,290,46.9,81.9,0,979.3,270,3.6,68,,
2008,1,6,10,0,26.1,112,33,23.2,65,100,30,95,47,83.7,0,979.7,266,3.2,81,,
2008,1,6,11,0,26.1,114,11.9,23.4,10,7,1,11,47.1,85.4,0,980.2,260,2.8,95,,
2008,1,6,12,0,25.6,117,0,23.3,0,0,0,0,46.9,87.1,0,980.7,258,2.6,109,,
2008,1,6,13,0,24.8,122,0,22.8,0,0,0,0,46.5,88.7,0,981.2,259,2.6,122,,
2008,1,6,14,0,24,131,0,22.3,0,0,0,0,46.1,90.4,0,981.8,260,2.5,134,,
2008,1,6,15,0,23.6,145,0,22.1,0,0,0,0,45.7,91.5,0,981.9,262,2.5,144,,
2008,1,6,16,0,23.3,168,0,22,0,0,0,0,45.4,92.2,0,981.7,264,2.6,150,,
2008,1,6,17,0,23.2,-165,0,21.9,0,0,0,0,45.1,92.8,0,981.5,267,2.6,149,,
2008,1,6,18,0,23,-144,0,21.9,0,0,0,0,44.7,93.3,0,981.3,267,2.6,143,,
2008,1,6,19,0,23,-130,0,21.9,0,0,0,0,44.2,93.8,0,980.9,266,2.6,133,,
2008,1,6,20,0,22.9,-121,0.7,21.9,0,0,0,0,43.7,94.2,0,980.6,264,2.7,120,,
2008,1,6,21,0,23.2,-116,18.5,22.1,0,0,0,0,43.5,93.5,0,980.7,258,2.9,107,,
2008,1,6,22,0,23.7,-113,38.8,22.4,3,5,1,4,43.4,92.2,0,981,250,3.3,94,,
2008,1,6,23,0,24.3,-112,15.4,22.7,73,140,35,108,43.3,90.7,0,981.4,244,3.7,80,,
2008,1,7,0,0,24.8,-112,2.9,22.7,153,366,159,312,43.3,88.1,0,981.8,246,4,66,,
2008,1,7,1,0,25.3,-114,0.9,22.5,185,586,363,548,43.4,84.8,0,982.2,252,4.1,53,,
2008,1,7,2,0,25.7,-119,0.8,22.3,212,689,532,744,43.5,81.5,0,982.6,258,4.3,39,,
2008,1,7,3,0,25.9,-132,6.9,22.5,307,596,524,832,43.5,81.5,0,982.3,260,4.3,27,,
2008,1,7,4,0,25.9,-161,19.4,22.9,459,346,324,784,43.5,83.7,0,981.6,260,4.3,19,,
2008,1,7,5,0,25.8,158,22.2,23.3,484,297,279,763,43.4,86.3,0,980.8,259,4.3,19,,
2008,1,7,6,0,25.6,131,12.9,23.4,345,518,449,794,43.7,88,0,980.2,257,4.2,28,,
2008,1,7,7,0,25.3,119,3.9,23.3,192,737,556,748,44,88.9,0,979.8,253,4.2,40,,
2008,1,7,8,0,25,114,26.5,23.1,233,318,212,445,44.4,89.6,0,979.4,249,4.1,54,,
2008,1,7,9,0,25,112,15.1,23.1,150,412,139,289,44.4,89,0,979.5,245,3.8,67,,
