P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,T_high,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
117761749.9,1179.72,24749912.04,2.75,816.27,1097.5004812987233,0.88,1178.81,313.68,0.557982122227,1.02491727819
117761749.9,1179.72,24749912.04,2.75,816.27,1097.5004812987233,0.52,1175.17,270.14,0.560309978408,1.01556603702
117761749.9,1179.72,24749912.04,2.75,816.27,1106.3893701876123,0.68,1170.4,263.75,0.563479368322,1.01869639091
117761749.9,1179.72,24749912.04,2.75,816.27,1106.3893701876123,0.92,1166.77,293.48,0.564280085404,1.0243204146
117761749.9,1179.72,24749912.04,2.75,816.27,1106.3893701876123,0.82,1173.99,287.54,0.56704658929,1.02464015403
117761749.9,1179.72,24749912.04,2.75,816.27,1106.3893701876123,0.99,1179.61,300.95,0.564177434182,1.03520125861
117761749.9,1179.72,24749912.04,2.75,816.27,1106.3893701876123,0.56,1166.5,306.68,0.550897527113,1.01423394663
117761749.9,1179.72,24749912.04,2.75,816.27,1106.3893701876123,0.59,1169.4,280.21,0.561387202647,1.01605852231
117761749.9,1179.72,24749912.04,2.75,816.27,1106.3893701876123,0.87,1174.74,315.83,0.55967096183,1.02643853533
117761749.9,1179.72,24749912.04,2.75,816.27,1106.3893701876123,0.74,1177.05,270.44,0.566719764897,1.02362217754
117761749.9,1179.72,24749912.04,2.75,816.27,1115.2782590765012,0.6,1173.04,305.05,0.55607426015,1.0203438149
117761749.9,1179.72,24749912.04,2.75,816.27,1115.2782590765012,0.5,1175.33,271.52,0.563558413104,1.01797250382
117761749.9,1179.72,24749912.04,2.75,816.27,1115.2782590765012,0.71,1178.36,291.92,0.567633462589,1.02660332522
117761749.9,1179.72,24749912.04,2.75,816.27,1115.2782590765012,0.82,1166.29,316.32,0.559105492546,1.02483142877
117761749.9,1179.72,24749912.04,2.75,816.27,1115.2782590765012,0.96,1177.7,302.28,0.566653791584,1.03929427903
117761749.9,1179.72,24749912.04,2.75,816.27,1115.2782590765012,0.9,1167.88,280.56,0.570262213315,1.02803425191
117761749.9,1179.72,24749912.04,2.75,816.27,1115.2782590765012,0.67,1169.41,267.66,0.565639310818,1.02113642448
117761749.9,1179.72,24749912.04,2.75,816.27,1115.2782590765012,1.0,1171.4,286.92,0.573852375665,1.03630229275
117761749.9,1179.72,24749912.04,2.75,816.27,1124.1671479653899,0.94,1179.05,286.91,0.579106565003,1.04643371324
117761749.9,1179.72,24749912.04,2.75,816.27,1124.1671479653899,0.66,1175.73,272.47,0.570119742825,1.02710878884
117761749.9,1179.72,24749912.04,2.75,816.27,1124.1671479653899,0.85,1165.64,312.25,0.562913627597,1.03044592934
117761749.9,1179.72,24749912.04,2.75,816.27,1124.1671479653899,0.79,1172.36,269.03,0.572761972112,1.03227898786
117761749.9,1179.72,24749912.04,2.75,816.27,1124.1671479653899,0.73,1168.61,306.39,0.56070759603,1.02655134556
117761749.9,1179.72,24749912.04,2.75,816.27,1124.1671479653899,0.52,1167.98,278.86,0.563861848532,1.01780800277
117761749.9,1179.72,24749912.04,2.75,816.27,1124.1671479653899,0.98,1172.09,297.49,0.568903933113,1.04305147425
117761749.9,1179.72,24749912.04,2.75,816.27,1124.1671479653899,0.6,1176.74,304.26,0.559780922854,1.02521007493
117761749.9,1179.72,24749912.04,2.75,816.27,1133.0560368542788,0.78,1174.65,312.44,0.568139507544,1.04069553914
117761749.9,1179.72,24749912.04,2.75,816.27,1133.0560368542788,1.02,1174.07,276.52,0.583252320947,1.05370342436
117761749.9,1179.72,24749912.04,2.75,816.27,1133.0560368542788,0.88,1168.71,296.57,0.569127422657,1.04215306765
117761749.9,1179.72,24749912.04,2.75,816.27,1133.0560368542788,0.76,1176.18,285.04,0.576890073971,1.04058424528
117761749.9,1179.72,24749912.04,2.75,816.27,1133.0560368542788,0.55,1172.07,269.01,0.568514258018,1.02423549435
117761749.9,1179.72,24749912.04,2.75,816.27,1133.0560368542788,0.69,1166.92,279.59,0.571096093147,1.02805520232
117761749.9,1179.72,24749912.04,2.75,816.27,1133.0560368542788,0.6,1165.38,303.34,0.558877319968,1.02343505259
117761749.9,1179.72,24749912.04,2.75,816.27,1133.0560368542788,0.97,1178.98,305.88,0.575055910401,1.05513684591
117761749.9,1179.72,24749912.04,2.75,816.27,1141.9449257431677,1.05,1175.54,283.87,0.588036923486,1.06391833314
117761749.9,1179.72,24749912.04,2.75,816.27,1141.9449257431677,0.51,1172.69,269.09,0.569907031784,1.0254635792
117761749.9,1179.72,24749912.04,2.75,816.27,1141.9449257431677,0.86,1166.28,278.27,0.580087182459,1.04593058906
117761749.9,1179.72,24749912.04,2.75,816.27,1141.9449257431677,0.63,1171.16,313.22,0.565009615931,1.0330972962
117761749.9,1179.72,24749912.04,2.75,816.27,1141.9449257431677,0.73,1176.55,305.68,0.570952840319,1.04551014892
117761749.9,1179.72,24749912.04,2.75,816.27,1141.9449257431677,0.93,1178.77,292.53,0.584526278128,1.06021099057
117761749.9,1179.72,24749912.04,2.75,816.27,1141.9449257431677,0.65,1168.53,276.47,0.573827264944,1.0326014142
117761749.9,1179.72,24749912.04,2.75,816.27,1141.9449257431677,0.83,1167.11,302.73,0.570582637892,1.04474103743
117761749.9,1179.72,24749912.04,2.75,816.27,1150.8338146320566,1.02,1176.44,273.62,0.591479610007,1.06947019054
117761749.9,1179.72,24749912.04,2.75,816.27,1150.8338146320566,0.55,1171.22,301.79,0.564923213756,1.03090963011
117761749.9,1179.72,24749912.04,2.75,816.27,1150.8338146320566,0.87,1174.93,290.62,0.586326848343,1.05976545754
117761749.9,1179.72,24749912.04,2.75,816.27,1150.8338146320566,0.94,1170.05,312.44,0.578531005492,1.05983250725
117761749.9,1179.72,24749912.04,2.75,816.27,1150.8338146320566,0.79,1168.28,281.4,0.582506295686,1.04890863171
117761749.9,1179.72,24749912.04,2.75,816.27,1150.8338146320566,0.69,1173.64,266.02,0.58107658988,1.04582364124
117761749.9,1179.72,24749912.04,2.75,816.27,1150.8338146320566,0.73,1166.56,311.1,0.570832532731,1.04322900545
117761749.9,1179.72,24749912.04,2.75,816.27,1150.8338146320566,0.57,1178.63,293.03,0.575408054318,1.03914273283
117761749.9,1179.72,24749912.04,2.75,816.27,1159.7227035209455,1.03,1177.06,295.2,0.590285273959,1.07391633026
117761749.9,1179.72,24749912.04,2.75,816.27,1159.7227035209455,0.74,1165.13,270.54,0.583454891571,1.04601453506
117761749.9,1179.72,24749912.04,2.75,816.27,1159.7227035209455,0.95,1172.1,266.11,0.592097932806,1.06587264062
117761749.9,1179.72,24749912.04,2.75,816.27,1159.7227035209455,0.54,1173.9,315.0,0.568943739461,1.0347369149
117761749.9,1179.72,24749912.04,2.75,816.27,1159.7227035209455,0.66,1169.12,305.72,0.572815863686,1.04273468697
117761749.9,1179.72,24749912.04,2.75,816.27,1159.7227035209455,0.63,1174.96,289.0,0.582237971627,1.04473130818
117761749.9,1179.72,24749912.04,2.75,816.27,1159.7227035209455,0.82,1168.16,283.18,0.587155016781,1.05442484303
117761749.9,1179.72,24749912.04,2.75,816.27,1159.7227035209455,0.85,1178.95,303.02,0.583137255931,1.06566781907
42072522.11,1106.75,24951598.17,2.85,808.92,1006.7520136396349,0.9,1094.62,266.44,0.484637376189,0.981957845717
42072522.11,1106.75,24951598.17,2.85,808.92,1006.7520136396349,1.05,1099.8,303.99,0.53041212458,1.00085364061
