P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.8224494967614329,1191.869690129494,293.0593610822473,0.487180829851,1.01448307247
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.7343788171002837,1153.2706340885895,268.36116838003227,0.452845283239,0.996733150202
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.6147529744707615,1165.1625187362731,302.28757721096525,0.405986479443,0.968110724475
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.5187853540074302,1095.5993106408037,287.8594543264567,0.272407332794,0.870702219618
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.8902537725792172,1116.5882584071244,283.9522806662426,0.465834025017,0.994375672051
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.8796501034202843,1135.0566323112914,271.7760108170438,0.472947407191,0.997991016516
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.9886985083481179,1189.3232198480578,296.79506194643665,0.500137275839,1.02106379135
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,1.0084052534048076,1173.8842547761158,313.8846282619329,0.498142251453,1.02655145802
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.6758624427570696,1090.25043609971,279.5563577930953,0.386988552545,0.955440364561
149176741.676,1202.97346914,24769806.5943,2.94873794847,811.707132139,0.5619905099149995,1119.5248098028276,312.29533388918645,0.332618148957,0.919051931238
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.5098636207252623,1207.8858532178785,277.8714324815531,0.378598933343,0.955224607479
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.6318751634526303,1205.1835116614284,305.75796681592976,0.434992103736,0.991943024944
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.5996489916191673,1180.1269257297304,285.13989505223844,0.413890497109,0.978877766174
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.9067712891581994,1251.587462805431,289.7957129882772,0.506589560406,1.01160822108
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.8474046420358174,1221.6543722911572,273.5024819591502,0.496091252606,1.02245603033
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.7440542130974289,1136.6347123115463,307.88112580840846,0.431678931016,0.995630090131
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.9903526505751075,1154.7101482481107,297.6714472648794,0.481116341002,1.02804504233
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,1.0390577335797468,1236.9494898286061,316.9068598763508,0.503939142028,1.01277365637
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.8160243753506294,1161.7388469166078,292.0929191120835,0.464508153279,1.0011817884
45973302.5309,1256.41760375,24097463.3054,2.98819336095,821.447046094,0.6960184815542751,1192.9629883147147,267.8744986198424,0.455511803635,0.993142178267
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.9289415870228936,1227.7195668225752,274.55718103172126,0.506964082437,1.01036602221
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.5803501822431585,1188.4075190673307,285.36122029954663,0.421456168525,0.981021045419
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.9836796609417093,1194.0205424352598,263.2029600892597,0.503079675083,1.01877119089
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.8671915858781934,1214.3209484421036,291.0171034943914,0.499707920818,1.02358892783
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.5404595251195415,1149.4628991050217,269.2441726179354,0.367087480608,0.952790786482
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.6988932889502519,1157.9036907009634,317.2122443025019,0.439271950596,0.994951895492
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.6406590751733143,1247.1269271728752,296.93068419731514,0.466825131106,1.00385466531
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.7981616267276737,1169.1351813718522,304.19944410552546,0.465220019012,1.00255892256
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,0.7239281153020596,1129.6121467180394,283.4201715325373,0.439846873602,1.00238664825
44462746.6241,1253.20284754,24336779.7141,2.95755955614,827.501030591,1.0122810066661554,1236.8996552739743,312.0523447792087,0.506453885135,1.01243760927
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.6675393982347432,992.4961372457642,293.4526608192499,0.246724572609,0.855881016598
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.7662953308292639,1039.3583938070906,277.8382300951104,0.366051012701,0.948997238348
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,1.0350462624066252,1017.8654970024454,299.9068341840049,0.421293443349,0.987547432395
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.9754011298777749,1080.601926595859,266.96380397302175,0.455036834473,0.994014126576
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.7832762254493582,1005.9935780565094,309.4264486006815,0.331253629831,0.923073569327
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.6617555425130799,1045.5175983781787,314.91367612188816,0.304667359206,0.903301141226
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.5444157399313849,1056.6277559151977,270.8199018832901,0.221288090455,0.832390489639
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.5997726900684968,1070.4684449427261,284.76570790195603,0.294254268146,0.894030719756
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.9326679418613049,1024.4715612442196,305.5097134676078,0.400816918015,0.968183969579
74238759.3958,1087.02585364,24787320.7764,2.98981712486,799.848655462,0.8782295629528842,989.0303733507257,287.37180671594405,0.362491746711,0.945264134046
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,0.821867317696777,1171.7838571750574,275.7608815256674,0.490194449221,1.00409618773
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,0.6968488979064361,1183.2687341201945,300.1689835451414,0.459299977267,0.99296959933
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,0.6641438945294393,1139.1120617091601,285.349210500665,0.430043813154,0.974010994228
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,0.5624323719178228,1227.7086913135654,272.67515517801843,0.440998833982,0.985307521699
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,0.7228617832033198,1160.2867039068044,311.77840495533565,0.455185220182,0.994628234942
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,0.9725549456351856,1122.2792765304066,282.85255464821563,0.490717493689,1.00470303842
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,0.8683461797964585,1200.4603098279283,291.50161995178644,0.510149888115,1.03354480775
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,1.046164688562711,1220.8739145082927,265.8725439786686,0.527097427402,1.00979400502
146130771.78,1238.50257752,24033092.8059,2.77717142057,813.145484576,0.5139506922588424,1208.2601380609403,313.3358601389923,0.386927779436,0.957738878621
